code,common,official,abbreviation,official_languages
,Malaysia,Federation of Malaysia,,Standard Malay
,Maldives,Republic of the Maldives,,Dhivehi 
,Mauritania,Islamic Republic of Mauritania,,Standard Arabic
,Mexico,United Mexican States,,Spanish
,Macedonia,Republic of Macedonia,,Macedonian
,Moldova,Republic of Moldova,,Romanian
,Morocco,Kingdom of Morocco,,"Standard Arabic, Berber"
,Myanmar,Republic of the Union of Myanmar,,Central Moroccan Berber
,Netherlands,Kingdom of the Netherlands,,Dutch
,New Zealand,Realm of New Zealand,,"English, Maori, New Zealand Sign Language"
,Norway,Kingdom of Norway,,Norwegian
,Nepal,Federal Democratic Republic Of Nepal,,Nepali
,Pakistan,Islamic Republic of Pakistan,,"Urdu, English"
,Palau,Republic of Palau,,"English, Palauan"
,Peru,Republic of Peru,,"Spanish, Quechua, Aymara"
,Philippines,Republic of the Philippines,,"Filipino, English"
,Poland,Republic of Poland,,Polish
,Portugal,Portuguese Republic,,Portuguese
,Puerto Rico,Commonwealth of Puerto Rico,,"Spanish, English"
,Russia,Russian Federation,,Russian
,Rwanda,Republic of Rwanda,,"Kinyarwanda, English, French"
,Saint Kitts and Nevis,Federation of Saint Kitts and Nevis,,English
,Saint Kitts and Nevis,Federation of Saint Christopher and Nevis,,
,Saudi Arabia,Kingdom of Saudi Arabia,,Standard Arabic
,Serbia,Republic of Serbia,,Serbian
,Singapore,Republic of Singapore,,"English, Standard Malay, Mandarin Chinese, Tamil"
,Sri Lanka,Democratic Socialist Republic of Sri Lanka,,"Sinhala, Tamil"
,Sudan,Republic of the Sudan,,"Arabic, English"
,Suriname,Surinam,,Dutch
,Suriname,Republic of Suriname,,
,Switzerland,Swiss Confederation,,"German, French, Italian, Romansh"
,Taiwan,Republic of China,ROC,Mandarin Chinese
,Tanzania,United Republic of Tanzania,,Swahili
,Thailand,Kingdom of Thailand,,Thai
,Togo,Togolese Republic,,French
,Trinidad and Tobago,Republic of Trinidad and Tobago,,English
,Turkey,Republic of Turkey ,,Turkish
AE,United Arab Emirates,,UAE,Standard Arabic
,United Kingdom,United Kingdom of Great Britain and Northern Ireland ,UK,English
,United States,United States of America,USA,English
,Vietnam,Socialist Republic of Vietnam,SRV,Vietnamese
,Zambia,Republic of Zambia,,English
,Zimbabwe,Republic of Zimbabwe ,,"English, Nyanja, Sena, Kalanga, Tsoa, Nambya, Ndau, Zimbabwean Ndebele, Tsonga, Zimbabwe Sign Language, Southern Sotho, Tonga (Zambia), Tswana, Venda, Xhosa"
