affiliation,glottocode,language,iso,level,area,latitude,longitude
Pidgin,aust1242,Austronesian Hiri Motu,,dialect,Papunesia,,
Unattested,bara1395,Bara,,dialect,Africa,,
Pidgin,bong1302,Bongor Pidgin Arabic,,dialect,Africa,,
Pidgin,chil1261,Chilapalapa,,dialect,Africa,,
Pidgin,cika1238,Cikabanga,,dialect,Africa,,
Unattested,fika1238,Fika,,dialect,Africa,,
"Khoe-Kwadi,Khoe,Non-Khoekhoe,West-Kxoe,Naro-Ana,Naro",qabe1238,/=Haba,,dialect,Africa,,
Pidgin,papu1235,Papuan Hiri Motu,,dialect,Papunesia,,
Pidgin,turk1313,Turku Pidgin Arabic,,dialect,Africa,,
