affiliation,glottocode,language,iso,level,area,latitude,longitude
"Yam,Kanum,Ngkrn-Ngkantr,Ngkantr",badi1247,Ngkontar Baedi,khd,language,Papunesia,-8.85301,140.753
"Yam,Kanum,Ngkrn-Ngkantr,Ngkantr",ngka1235,Ngkontar Ngkolmpu,kcd,language,Papunesia,-8.87044,140.818
"Yam,Kanum,Ngkrn-Ngkantr",sota1242,Sota Kanum,krz,language,Papunesia,-8.40452,140.969
"Yam,Kanum",smar1235,Smärky Kanum,kxq,language,Papunesia,-8.91812,140.897
"Yam,Kanum,Smärky Kanum",ngka1237,Ngkantia,NA,dialect,Papunesia,NA,NA
"Yam,Kanum,Smärky Kanum",ngkr1236,Ngkrnc,NA,dialect,Papunesia,NA,NA
"Yam,Kanum,Smärky Kanum,Ngkrnc",ngkr1237,Ngkrnc of Tomerau and Rawa Biru,NA,dialect,Papunesia,NA,NA
"Yam,Kanum,Smärky Kanum,Ngkrnc,Ngkrncof Tomerauand Rawa Biru",bark1251,Barkali,NA,dialect,Papunesia,NA,NA
"Yam,Kanum,Smärky Kanum,Ngkrnc,Ngkrncof Tomerauand Rawa Biru",ngkr1235,Ngkrnc of Rawa Biru,NA,dialect,Papunesia,NA,NA
"Yam,Kanum,Smärky Kanum,Ngkrnc,Ngkrncof Tomerauand Rawa Biru",ngkr1238,Ngkrnc of Tomerau,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Nambu,Nama-Dre",dree1234,Dre,NA,language,Papunesia,-8.5,141.68
"Yam,Morehead-Maro,Nambu,Nama-Dre",nama1266,Nama (Papua New Guinea),nmx,language,Papunesia,-8.66403,141.706
"Yam,Morehead-Maro,Nambu",nama1267,Namat,nkm,language,Papunesia,-8.827,141.641
"Yam,Morehead-Maro,Nambu",namb1293,Nambo,ncm,language,Papunesia,-8.74501,141.931
"Yam,Morehead-Maro,Nambu,Nambo",namn1239,Namna,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Nambu,Nambo",nucl1459,Nuclear Nambo,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Nambu,Namo-Len",lenn1234,Len,NA,language,Papunesia,-9.12,142.1
"Yam,Morehead-Maro,Nambu,Namo-Len",namo1246,Namo,mxw,language,Papunesia,-9.12416,141.824
"Yam,Morehead-Maro,Nambu",neme1244,Neme,nex,language,Papunesia,-8.44877,141.849
"Yam,Morehead-Maro,Nambu",nenn1238,Nen,nqn,language,Papunesia,-8.62183,142.032
"Yam,Morehead-Maro,Tonda",aram1253,Arammba,stk,language,Papunesia,-8.29593,141.445
"Yam,Morehead-Maro,Tonda,Eastern Tonda",wara1294,Anta-Komnzo-Wára-Wérè-Kémä,tci,language,Papunesia,-8.64917,141.52
"Yam,Morehead-Maro,Tonda,Eastern Tonda,Anta-Komnzo-Wára-Wérè-Kémä",anta1254,Anta,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Eastern Tonda,Anta-Komnzo-Wára-Wérè-Kémä",kama1361,Kémä,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Eastern Tonda,Anta-Komnzo-Wára-Wérè-Kémä",komn1238,Kómnjo,NA,dialect,Papunesia,-8.70216,141.5878
"Yam,Morehead-Maro,Tonda,Eastern Tonda,Anta-Komnzo-Wára-Wérè-Kémä",wara1295,Wára,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Eastern Tonda,Anta-Komnzo-Wára-Wérè-Kémä",were1243,Wèré,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Eastern Tonda",kunj1246,Kánchá,pep,language,Papunesia,-8.92289,141.424
"Yam,Morehead-Maro,Tonda",blaf1238,Mblafe-Ránmo,bfh,language,Papunesia,-8.56161,141.226
"Yam,Morehead-Maro,Tonda,Mblafe-Ránmo",mbla1238,Mblafe,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Mblafe-Ránmo",ranm1238,Ránmo,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda",rema1238,Rema,bow,language,Papunesia,-8.41526,141.034
"Yam,Morehead-Maro,Tonda",gunt1241,Warta Thuntai,gnt,language,Papunesia,-8.80806,141.253
"Yam,Morehead-Maro,Tonda,Warta Thuntai",bala1317,Balamuk,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Warta Thuntai",bens1234,Bensbach,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Warta Thuntai",koro1319,Korombo 1,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Warta Thuntai",koro1320,Korombo 2,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Tonda,Warta Thuntai",kann1258,Wando (Kan),NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro",yeii1239,Yei,jei,language,Papunesia,-7.87489,140.863
"Yam,Morehead-Maro,Yei",lowe1408,Lower Yei,NA,dialect,Papunesia,NA,NA
"Yam,Morehead-Maro,Yei",uppe1421,Upper Yei,NA,dialect,Papunesia,NA,NA
Mongolic-Khitan,kita1247,Kitan,zkt,language,Eurasia,44.3773,115.986
"Mongolic-Khitan,Mongolic",daur1238,Dagur,dta,language,Eurasia,48,124
"Mongolic-Khitan,Mongolic,Dagur",hail1246,Haila'er Dagur,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Dagur",ilid1234,Ili Dagur,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Dagur",midd1365,Middle Amur Dagur,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Dagur",nonn1234,Nonni basin Dagur,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Dagur,Nonnibasin Dagur",bute1242,Buteha,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Dagur,Nonnibasin Dagur",mori1279,Morin Daba Dagur,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Dagur,Nonnibasin Dagur",nenj1234,Nenjiang Dagur,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Dagur,Nonnibasin Dagur",qiqi1238,Tsitsikar,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat",chin1476,China Buriat,bxu,language,Eurasia,48.7593,117.786
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,China Buriat",barg1251,Bargu,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat",mong1330,Mongolia Buriat,bxm,language,Eurasia,48.7686,109.005
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Mongolia Buriat",agaa1241,Aga,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Mongolia Buriat",khor1270,Khori,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat",russ1264,Russia Buriat,bxr,language,Eurasia,50.8533,105.564
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",alar1239,Alar,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",barg1250,Barguzin,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",boha1238,Bohaan,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",bula1254,Bulagat,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",ekhi1238,Ekhirit,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",ninz1245,Ninzne-Udinsk,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",okaa1242,Oka,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",tunk1240,Tunka,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Buriat,Russia Buriat",unga1252,Unga,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian",halh1238,Halh Mongolian,khk,language,Eurasia,48.324,106.289
