affiliation,glottocode,language,iso,level,area,latitude,longitude
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Halh Mongolian",dari1250,Dariganga,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Halh Mongolian",halh1239,Halh,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Halh Mongolian",khot1253,Khotogoit,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Halh Mongolian",sart1248,Sartul,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Halh Mongolian",tson1247,Tsongol,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian",kalm1243,Oirad-Kalmyk-Darkhat,xal,language,Eurasia,46.566667,45.316667
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat",alas1256,Alasha Oirad,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat",oira1262,Altai Oirat,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",alta1279,Altai Torguud,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",alta1280,Altai Uriankhai,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",bayi1240,Bayid,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",damb1251,Dambi-Ööld,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",khos1234,Khoshuud,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",khot1255,Khoton,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",khow1243,Khowd Dörwöd,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",ming1257,Mingad,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Altai Oirat",zakh1248,Zakhchin,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat",dark1243,Darkhat,drh,dialect,Eurasia,50.623,99.4449
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat",deed1234,Deed Mongol,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat",jung1241,Jungarian Oirat,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat",kalm1244,Kalmyk,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Kalmyk",buza1239,Buzawa,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Kalmyk",dorb1242,Dörböt,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Kalmyk",torg1245,Torgut,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Kalmyk,Torgut",oren1239,Orenburgian Torguud,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat,Kalmyk,Torgut",ural1276,Uralian Torguud,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Oirad-Kalmyk-Darkhat",sart1247,Sart Qalmaq,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian",peri1253,Peripheral Mongolian,mvf,language,Eurasia,42.4208,110.157
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",chah1241,Chahar,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",ejin1238,Ejine,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",jiri1239,Jirim,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",joud1238,Jo-Uda,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",jost1238,Jostu,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",ordo1245,Ordos,NA,dialect,Eurasia,39.612,109.781
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",shil1261,Shilingol,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",tumu1241,Tumut,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khalkha-Buriat,Mongolian,Peripheral Mongolian",ulan1238,Ulanchab,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic",kham1281,Khamnigan Mongol,NA,language,Eurasia,49,117
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khamnigan Mongol",mank1257,Mankovo Khamnigan Mongol,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Eastern Mongolic,Khamnigan Mongol",urul1234,Urulga Khamnigan Mongol,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic",midd1351,Middle Mongol,xng,language,Eurasia,48.2,110.006
"Mongolic-Khitan,Mongolic",mogh1245,Mogholi,mhj,language,Eurasia,34.2504,62.2802
"Mongolic-Khitan,Mongolic,Mogholi",kare1336,Karez-I-Mulla,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Mogholi",kund1252,Kundur,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic",east2337,East Yugur,yuy,language,Eurasia,37.9882,101.762
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic",bona1250,Bonan,peh,language,Eurasia,35.6972,102.995
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic,Bonan",jish1241,Jishishan,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic,Bonan",tong1310,Tongren,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic",dong1285,Dongxiang,sce,language,Eurasia,35.5808,103.558
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic,Dongxiang",siji1238,Sijiaji,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic,Dongxiang",suon1238,Suonanba,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic,Dongxiang",wang1256,Wangjiaji,NA,dialect,Eurasia,NA,NA
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Baoanic",kang1281,Kangjia,kxs,language,Eurasia,35.043,101.254
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Monguoric",minh1238,Mangghuer,NA,language,Eurasia,35.97515,102.84406
"Mongolic-Khitan,Mongolic,Southern Periphery Mongolic,Shirongol,Monguoric",huzh1238,Mongghul,mjg,language,Eurasia,36.8177,102.11749
Kol (Papua New Guinea),kolp1236,Kol (Papua New Guinea),kol,language,Papunesia,-5.21042,151.583
Kol (Papua New Guinea),koll1254,Kol,NA,dialect,Papunesia,NA,NA
Kol (Papua New Guinea),suii1244,Sui (Papua New Guinea),NA,dialect,Papunesia,NA,NA
Namla-Tofanma,naml1240,Namla,naa,language,Papunesia,-3.58,140.66
Namla-Tofanma,tofa1246,Tofanma,tlg,language,Papunesia,-3.74322,140.591
Language isolate,tana1288,Tanahmerah,tcm,language,Papunesia,-2.5523,133.18
Jarawa-Onge,jara1245,Jarawa (India),anq,language,Eurasia,11.6089,92.658
Jarawa-Onge,onge1236,Önge,oon,language,Eurasia,10.6926,92.4707
Ta-Ne-Omotic,benc1235,Bench,bcq,language,Africa,7.04682,35.7673
"Ta-Ne-Omotic,Bench",merr1238,Mer (Bench),NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Bench",nucl1433,Nuclear Bench,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Bench",shee1239,She (Ethiopia),NA,dialect,Africa,7.74852,35.9498
"Ta-Ne-Omotic,Kefoid",anfi1235,Anfillo,myo,language,Africa,8.568,34.647
"Ta-Ne-Omotic,Kefoid",boro1277,Boro (Ethiopia),bwo,language,Africa,10.6596,35.345
"Ta-Ne-Omotic,Kefoid,Boro (Ethiopia)",amur1243,Amuru,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Kefoid,Boro (Ethiopia)",gami1244,Gamila,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Kefoid,Boro (Ethiopia)",guba1244,Guba (Ethiopia),NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Kefoid,Boro (Ethiopia)",wemb1240,Wembera,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Kefoid,South Gonga",kafa1242,Kafa,kbr,language,Africa,7.34022,36.1718
"Ta-Ne-Omotic,Kefoid,South Gonga,Kafa",bosh1241,Bosha,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Kefoid,South Gonga,Kafa",nucl1434,Nuclear Kafa,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Kefoid,South Gonga",shek1244,Shekkacho,moy,language,Africa,7.27424,35.3922
"Ta-Ne-Omotic,Ometo",char1269,Chara,cra,language,Africa,6.63946,36.4192
"Ta-Ne-Omotic,Ometo,East Ometo",kach1284,Kachama-Ganjule-Haro,kcx,language,Africa,6.3971,37.9291
"Ta-Ne-Omotic,Ometo,East Ometo,Kachama-Ganjule-Haro",ganj1241,Ganjule,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Ometo,East Ometo,Kachama-Ganjule-Haro",gant1243,Ganta,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Ometo,East Ometo,Kachama-Ganjule-Haro",kach1285,Kachama,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Ometo,East Ometo",koor1239,Koorete,kqy,language,Africa,5.8054500000000004,37.8679
"Ta-Ne-Omotic,Ometo,East Ometo",zays1235,Zayse-Zergulla,zay,language,Africa,5.83747,37.3409
"Ta-Ne-Omotic,Ometo,East Ometo,Zayse-Zergulla",zays1236,Zayse,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Ometo,East Ometo,Zayse-Zergulla",zerg1235,Zergulla,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Ometo,North-West Ometo",bask1236,Basketo,bst,language,Africa,6.45774,36.5763
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo,Dawro-Gofa-Gamo",dawr1236,Dawro,dwr,language,Africa,6.95,37
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo,Dawro-Gofa-Gamo",gamo1243,Gamo,gmv,language,Africa,6.27645,37.23808
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo,Dawro-Gofa-Gamo",gofa1235,Gofa,gof,language,Africa,6.57645,37.05
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo",dorz1235,Dorze,doz,language,Africa,6.25237,37.5554
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo",melo1242,Melo,mfx,language,Africa,6.53916,36.811
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo",oyda1235,Oyda,oyd,language,Africa,6.13322,36.8541
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo",wola1242,Wolaytta,wal,language,Africa,6.32668,37.7537
"Ta-Ne-Omotic,Ometo,North-West Ometo,Central Ometo,Wolaytta",zala1240,Zala,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Ometo,North-West Ometo",male1284,Male (Ethiopia),mdy,language,Africa,5.91975,36.9892
Ta-Ne-Omotic,yems1235,Yemsa,jnj,language,Africa,7.79821,37.4412
"Ta-Ne-Omotic,Yemsa",fuga1235,Fuga of Jimma,NA,dialect,Africa,NA,NA
"Ta-Ne-Omotic,Yemsa",toba1264,Toba (Ethiopia),NA,dialect,Africa,NA,NA
"Pomoan,Russian Riverand Eastern",east2545,Eastern Pomo,peb,language,North America,38.5647,237.414
"Pomoan,Russian Riverand Eastern,Russian River",nort2967,Northeastern Russian River Pomo,pef,language,North America,39.2894,237.49099999999999
"Pomoan,Russian Riverand Eastern,Russian River,Northern-Central Pomoan",cent2138,Central Pomo,poo,language,North America,38.90547,236.33607
"Pomoan,Russian Riverand Eastern,Russian River,Northern-Central Pomoan,Central Pomo",hopl1239,Hopland,NA,dialect,North America,NA,NA
"Pomoan,Russian Riverand Eastern,Russian River,Northern-Central Pomoan,Central Pomo",poin1246,Point Arena,NA,dialect,North America,NA,NA
"Pomoan,Russian Riverand Eastern,Russian River,Northern-Central Pomoan,Central Pomo",ukia1238,Ukiah,NA,dialect,North America,NA,NA
"Pomoan,Russian Riverand Eastern,Russian River,Northern-Central Pomoan",nort2966,Northern Pomo,pej,language,North America,39.1084,236.791
"Pomoan,Russian Riverand Eastern,Russian River,Northern-Central Pomoan,Northern Pomo",guid1240,Guidiville,NA,dialect,North America,NA,NA
"Pomoan,Russian Riverand Eastern,Russian River,Northern-Central Pomoan,Northern Pomo",sher1259,Sherwood Valley,NA,dialect,North America,NA,NA
"Pomoan,Russian Riverand Eastern,Russian River,Southern Pomoan-Kashaya",kash1280,Kashaya,kju,language,North America,38.5424,236.92000000000002
"Pomoan,Russian Riverand Eastern,Russian River,Southern Pomoan-Kashaya",sout2984,Southern Pomo,peq,language,North America,38.7643,237.45499999999998
Pomoan,sout2982,Southeastern Pomo,pom,language,North America,38.9354,237.401
"Western Daly,Bringen",mari1417,Marimanindji,zmm,language,Australia,-14.1788,130.561
"Western Daly,Bringen,Maringarr-Matige",mari1419,Maringarr,zmt,language,Australia,-14.3819,130.25
"Western Daly,Bringen,Maringarr-Matige",mart1254,Marti Ke,zmg,language,Australia,-14.0058,129.837
"Western Daly,Bringen,Marithielic",mari1422,Maridan,zmd,language,Australia,-14.0542,130.079
"Western Daly,Bringen,Marithielic",mari1421,Maridjabin,zmj,language,Australia,-13.8754,129.844
"Western Daly,Bringen,Marithielic",mari1424,Marithiel,mfr,language,Australia,-13.8818,130.237
"Western Daly,Bringen,Marithielic,Marithiel",mare1239,Mare-Ammu,NA,dialect,Australia,NA,NA
"Western Daly,Bringen,Marithielic,Marithiel",marr1241,Marri Yedi,NA,dialect,Australia,NA,NA
"Western Daly,Bringen,Marithielic,Marithiel",marr1240,Marritjabin,NA,dialect,Australia,NA,NA
"Western Daly,Bringen,Marithielic,Marithiel",nucl1242,Nuclear Marithiel,NA,dialect,Australia,NA,NA
"Western Daly,Bringen,Marithielic",mari1423,Mariyedi,zmy,language,Australia,-13.7687,129.876
"Western Daly,Bringen,Marithielic",marr1256,Marriammu,xru,language,Australia,-12.28,130.5
"Western Daly,Maranunggu-Ame-Manda,Ame-Manda",amii1238,Ami,amy,language,Australia,-13.5573,130.04
"Western Daly,Maranunggu-Ame-Manda,Ame-Manda",mand1416,Manda (Australia),zma,language,Australia,-13.6481,129.885
"Western Daly,Maranunggu-Ame-Manda",mara1386,Maranunggu,zmr,language,Australia,-13.6754,130.12
Yangmanic,dago1245,Dagoman,dgn,language,Australia,-15.764,132.379
Yangmanic,ward1246,Wardaman,wrr,language,Australia,-15.4155,132.604
Yangmanic,yang1288,Yangman,jng,language,Australia,-14.4964,132.52
Wintuan,patw1250,Patwin,pwi,language,North America,39.2143,237.9906
"Wintuan,Patwin",nucl1784,Nuclear Patwin,NA,dialect,North America,NA,NA
"Wintuan,Patwin,Nuclear Patwin",hill1259,Hill Patwin,NA,dialect,North America,NA,NA
"Wintuan,Patwin,Nuclear Patwin",rive1264,River Patwin,NA,dialect,North America,NA,NA
"Wintuan,Patwin",sout3315,Southern Patwin,NA,dialect,North America,NA,NA
Wintuan,wint1259,Wintu,wit,language,North America,39.7176,237.555
"Wintuan,Wintu",noml1242,Nomlaki,nol,dialect,North America,NA,NA
"Wintuan,Wintu",nucl1651,Nuclear Wintu,wnw,dialect,North America,41,237.5
Northern Daly,mull1237,Mullukmulluk,mpb,language,Australia,-13.427,130.664
Northern Daly,tyar1236,Tyaraity,woa,language,Australia,-12.4868,130.676
Salishan,bell1243,Bella Coola,blc,language,North America,52.3448,233.311
"Salishan,Bella Coola",kims1241,Kimsquit,NA,dialect,North America,NA,NA
"Salishan,Bella Coola",nuxa1234,Nuxalk,NA,dialect,North America,NA,NA
