language,iso,glottocode,longitude,latitude,alternate_names,area,affiliation,affiliation-HH,country,dialects,language_development,language_status,language_use,location,other_comments,population,population_numeric,timespan,typology,writing
Eastern Pahari,nep,east1436,87.6200833333,27.5947033333,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Durango Nahuatl,nln,dura1246,NA,NA,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Norwegian Bokmal,nob,norw1259,8.886,61.112,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Nyaw,nyw,nyaw1245,104.15092,17.12133,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Pinjarup,pnj,pinj1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Pelende,ppp,pele1244,17.3142,-4.90877,NA,Africa,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Nari Nari,rnr,nari1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Repanbitip,rpn,repa1237,167.61883,-16.32646,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Sanglechi-Ishkashimi,sgl,sang1343,71.67426,36.635405,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Skagit,ska,skag1239,238.00901,48.53138,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Sok,skk,sokk1239,106.8398,15.1665,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Snohomish,sno,snoh1241,237.86223,47.93414,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Surigao,sul,suri1274,NA,NA,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Sumuic,sum,sumu1234,NA,NA,NA,North America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tobo,tbv,tobo1251,147.37562,-6.36263,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tidung,tid,tidu1239,117.55143,3.937955,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tai Mène,tmp,taim1250,104.72923,18.33998,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Tinoc Kallahan,tne,tino1235,120.99378,16.78986,NA,Papua,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Western Worrorran,unp,west2435,124.66753,-16.10935,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wadikali,wdk,wadi1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wardandi,wxw,ward1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Birrpayi,xbj,birr1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Bibbulman,xbp,bibb1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Goreng,xgg,gore1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Xiandao,xia,xian1249,97.90515,24.5458,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Minjungbal,xjb,minj1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Jaitmatang,xjt,jait1239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Narrangansett,xnt,narr1280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Pequot-Mohegan,xpq,pequ1242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Punthamara,xpt,punt1240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Kraho,xra,krah1246,312.42262,-8.01172,NA,South America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Gundungurra,xrd,gund1248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Krikati-Timbira,xri,krik1239,313.24962,-5.94252,NA,South America,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Yitha Yitha,xth,yith1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Umiida,xud,umii1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Ngunawal,xul,ngun1277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Unggaranggu,xun,ungg1244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wajuk,xwj,waju1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wotjobaluk,xwt,wotj1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Wemba Wemba,xww,wemb1241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Mayi-Yapi,xyj,mayi1235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Mayi-Kulan,xyk,mayi1236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Mayi-Thakurti,xyt,mayi1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Malyangapa,yga,maly1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Yagara,yxg,yaga1262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Yabula Yabula,yxy,yabu1234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Jir'jorond,yyr,jirj1239,NA,NA,NA,Australia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
Samoyed Koibal,zkb,samo1299,NA,NA,NA,Eurasia,NA,NA,NA,NA,NA,NA),NA,NA,NA,NA,NA,NA,NA,NA
