wals.code,glottocode
egn,enge1239
bnn,bann1247
ard,aran1237
ktk,afad1236
klw,kili1268
irx,iran1263
mnm,mana1295
non,noon1243
pil,pile1238
cav,cavi1250
koa,koas1236
ktu,nucl1297
tpr,tupu1244
sil,dars1235
nbk,natu1246
mra,mara1385
nmd,samo1303
cur,curr1243
arx,area1240
shs,shas1239
hix,hixk1239
tid,tido1248
lbu,lund1266
tkl,take1257
sgb,mani1235
avt,avat1244
knp,ngka1235
knb,badi1247
win,wint1259
swt,swat1243
mor,morm1235
wir,wira1265
teh,tehu1242
nya,nyaw1247
rag,hano1246
lug,lugb1240
tai,taha1241
tug,taha1241
sim,sime1241
baq,baur1253
sul,sulk1246
coa,coah1252
gok,goka1239
bhu,mund1320
mun,mund1320
slv,sout2959
ord,peri1253
ndo,ndon1254
pmn,nort2966
far,faro1244
ang,ango1254
atk,atak1252
kla,klao1243
idu,idum1241
mis,misk1235
tsi,nucl1649
sum,maya1285
mon,monn1252
cde,maqu1238
kui,kuii1252
kiu,kuii1253
moj,moha1256
grn,fare1241
ngg,nang1259
ngk,nang1259
rgn,nort2994
ijo,izon1238
tye,tyar1236
ngt,tang1336
khk,khak1248
tza,tzel1254
tzb,tzel1255
tzt,tzel1254
tze,tzel1253
saa,saaa1240
thd,thad1238
krb,gilb1244
dmi,dumi1241
gum,kumb1268
ctm,chit1248
cec,chic1271
krg,shon1251
ksa,east1472
oji,east2542
cpw,chip1241
urk,urub1250
isn,isna1241
max,maxa1247
oca,ocai1244
ilo,ilok1237
brk,beri1254
bbu,bara1361
wan,ngur1261
nyn,nyig1240
prh,pira1253
thu,thul1246
kmp,kuni1267
wiy,wiyo1248
lla,lamu1254
paa,paaa1242
amk,amar1274
sea,sout2859
cyg,cayu1261
lov,lave1248
yrm,yuru1243
snm,sanu1240
yuc,yuch1247
mwo,motl1237
cof,cofa1242
tpn,nort2959
dsh,dani1285
dab,nucl1683
otm,mezq1235
osm,quer1236
oix,ixte1237
ben,beng1280
bec,chit1275
shp,nort1527
smt,umat1237
chy,chay1248
kku,kork1243
hak,hakk1236
hyo,asho1236
ho,hooo1248
tbs,taba1259
tlo,tobe1252
ych,cent2127
yun,cent2127
ypk,cent2127
mij,miju1243
arw,nucl1235
arm,nucl1235
arz,nucl1235
kpw,east2341
oka,okan1243
gla,qaua1234
agc,cent2084
aso,sout2694
niu,niue1239
mig,miga1249
ggu,gure1255
mnx,manx1243
mlu,male1289
gay,gayo1244
ctc,cuic1234
krt,kara1474
gut,gour1243
grm,gour1243
nab,naba1256
hia,cari1279
skm,suku1261
yim,yima1243
fox,mesk1242
fin,finn1318
ndg,ndog1248
chw,west2650
jun,juan1238
knn,kinn1249
bgv,bagv1239
ung,ngar1284
pnr,enap1235
sup,supy1237
snh,sinh1246
mym,mala1464
nau,naur1243
moc,shek1244
til,till1254
tsn,tson1249
sme,siam1242
ykt,yaku1245
lnd,band1344
sao,saho1246
mmb,mbul1263
bku,mokp1239
puk,para1301
yuw,gami1243
gml,gami1243
crn,corn1251
nup,nupe1254
klh,kala1372
tru,trum1247
brw,west2397
bru,east2332
skn,guah1255
ghb,guah1255
woi,kama1365
dhr,dhar1247
rem,bond1245
lat,latv1249
kug,mand1415
mnd,mand1415
dok,ngom1268
nbe,ngom1268
mbe,mber1257
cyv,cayu1262
ane,anem1249
mnr,mand1442
nsy,assy1241
mav,mari1435
wyn,waya1269
der,dera1245
moh,moha1258
pnn,pang1290
bbw,gunw1252
zso,zulu1248
zno,zulu1248
zul,zulu1248
iri,iris1253
sio,sioo1240
chi,chim1301
kpo,ikpo1238
mou,moru1253
bub,bube1242
aar,aari1239
tsf,colo1256
kri,kari1255
myr,mats1244
msn,mais1250
cve,chua1250
pis,asue1235
sah,sahu1245
dob,dobe1238
usa,usan1239
zen,zena1248
bti,beto1236
ved,vedd1240
kgr,kagu1239
run,rung1258
kfe,koro1298
yli,angg1239
tao,tara1313
kya,kuku1273
cqt,chiq1248
lmg,lama1288
bhn,bahi1254
cog,cogu1240
tne,timn1235
kmt,kemt1242
mpu,mpur1239
hmb,huam1247
ysl,cent2128
jrn,juru1256
mhm,besi1244
qch,kich1262
dou,dout1240
olu,olut1240
cem,cemu1238
tld,tala1285
hlp,hava1248
tks,teke1280
vaf,vafs1240
tag,taga1270
qaw,qawa1238
dms,dima1251
blq,nucl1695
yah,yama1264
blk,bala1315
aly,alya1239
mny,marg1253
lon,loni1238
awn,awng1244
gil,gila1241
cla,clal1241
eml,emba1238
jeb,jebe1250
neh,neha1247
ntu,nene1249
nen,nene1249
crg,east2555
gua,para1311
bem,bemb1257
bna,jama1261
amx,anam1248
hil,hili1240
som,soma1255
lah,lahu1253
ass,assa1263
tbl,tabl1243
mba,mbaa1245
ogb,ogbi1239
for,fore1270
but,mong1330
awt,awtu1239
alw,alaw1244
nif,niua1240
ant,anga1290
mbt,mang1394
ura,urav1235
mss,sout2985
tbu,tebu1238
tgl,tsha1245
efi,efik1245
sba,sali1298
tsp,tami1289
tml,tami1289
luo,luok1236
awp,awac1239
tic,ticu1245
pec,pech1241
apc,mesc1238
