iso	lang	lat	area	language	glottocode
atb	98.36425	24.17265	Eurasia	Zaiwa	zaiw1241
atc	-69.49999	-14.16665	South America	Atsahuaca	atsa1242
ata	151.05018	-5.58045	Papua	Pele-Ata	pele1245
atn	48.68083	37.74693	Eurasia	Ashtiani	asht1244
ato	9.72121	6.03539	Africa	Atong	aton1242
atl	123.55216	13.4588	Papua	Mt. Iraya Agta	mtir1236
atm	122.9	9.715	Papua	Ata	ataa1240
atj	-73.79888	47.95551	North America	Atikamekw	atik1240
atk	122.51179	11.15394	Papua	Ati	atii1237
ati	-3.8209	5.9977	Africa	Attie	atti1239
atv	88.06722	50.89984	Eurasia	Northern Altai	nort2686
atw	-120.66125	40.42711	North America	Atsugewi	atsu1245
att	121.29955	18.47381	Papua	Pamplona Atta	pamp1244
atu	30.49451	6.32234	Africa	Reel	reel1238
atr	-60.42595	-0.61832	South America	Waimiri-Atroari	waim1253
ats	-108.73841	48.48341	North America	Gros Ventre	gros1243
atp	121.37861	18.21116	Papua	Pudtol Atta	pudt1235
atq	119.3193	-2.78397	Papua	Aralle-Tabulahan	aral1243
atz	121.65618	16.41851	Papua	Arta	arta1239
atx	-63.12023	4.20057	South America	Arutani	arut1244
aty	169.82523	-20.18636	Papua	Aneityum	anei1239
kfv	87.3205	26.9175	Eurasia	Kurmukar	kurm1243
kfw	87.91733	26.14877	Eurasia	Kharam Naga	khar1288
kft	74.7355	25.69995	Eurasia	Kanjari	kanj1259
kfu	73.17329	18.96695	Eurasia	Katkari	katk1238
kfr	69.0	23.83	Eurasia	Kachchi	kach1277
kfs	76.67385	31.3842	Eurasia	Bilaspuri	bila1253
kfp	83.81422	23.41015	Eurasia	Korwa	korw1242
kfq	77.55409	21.83579	Eurasia	Korku	kork1243
kfz	-1.96187	14.04599	Africa	Koromfe	koro1298
kfx	77.37721	31.83388	Eurasia	Kullu Pahari	kull1236
kfy	80.0171	29.562155	Eurasia	Kumaoni	kuma1273
kff	81.20964	17.6772	Eurasia	Koya	koya1251
kfg	75.48962	12.33014	Eurasia	Kudiya	kudi1237
kfd	75.19999	12.91628	Eurasia	Korra Koraga	korr1238
kfe	76.93865	11.4978	Eurasia	Kota (India)	kota1263
kfb	78.49338	20.10216	Eurasia	Northwestern Kolami	nort2699
kfc	82.93402	18.26754	Eurasia	Konda-Dora	kond1295
kfa	75.91608	12.24429	Eurasia	Kodava	koda1255
kfn	10.18407	6.43762	Africa	Kuk	kukk1239
kfo	-5.73572	8.11966	Africa	Koro (Cote d'Ivoire)	koro1306
kfl	10.20727	6.53881	Africa	Kung	kung1260
kfm	49.37419	36.69633	Eurasia	Khunsaric	khun1255
kfj	101.14386	22.06028		Kemiehua	kemi1240
kfk	78.31478	31.36883	Eurasia	Kinnauri	kinn1249
kfh	75.52034	11.82263	Eurasia	Kurichiya	kuri1256
kfi	76.52555	11.38236	Eurasia	Kurumba, Kannada	kann1253
xia	97.90515	24.5458	Eurasia	NA	NA
xib	0.212401	40.62396	Eurasia	Iberian	iber1250
