id	glottocode
443	cent2092
444	boto1242
445	sang1337
446	sang1336
447	cent2089
448	west2557
449	tbol1240
450	cent2090
451	cala1258
452	taus1251
453	sout2857
454	nort2935
455	miya1259
456	katb1237
457	litz1237
458	iran1262
459	nese1235
460	mara1399
461	fata1247
462	maka1316
463	siee1239
464	urav1235
465	arak1252
466	suri1273
467	hili1240
468	stan1306
469	tali1259
470	mere1242
471	iaai1238
472	neha1247
473	simb1256
474	urua1242
475	nama1268
476	orko1234
477	kwam1252
478	stan1306
479	maor1246
480	gugu1255
481	tahi1242
482	sabu1255
483	butu1244
484	vinm1237
485	nati1244
486	lama1278
487	otda1235
488	beka1241
489	indo1317
490	inab1237
491	mapu1244
492	engg1245
493	engg1245
494	sout2916
495	cent2100
496	tons1240
497	awad1244
498	ping1243
499	sons1242
500	aros1241
501	ayiw1239
502	nang1262
503	ende1246
504	natu1246
505	natu1246
506	tetu1246
507	mala1479
508	ghan1242
509	lung1249
510	tita1241
511	guma1254
512	west2519
513	wara1300
514	kahu1241
515	kahu1241
516	kahu1241
517	faga1239
518	ughe1237
519	lavu1241
520	leng1259
521	duke1237
522	baba1268
523	bilu1245
524	bilu1245
525	ghan1242
526	touo1238
527	touo1238
528	kusa1251
529	mono1273
530	mono1273
531	leng1259
532	dori1246
533	saaa1240
534	saaa1240
535	vang1243
536	baba1268
537	ghar1239
538	ghar1239
539	ghar1239
540	ghar1239
541	ghar1239
542	mala1484
543	tali1259
544	tali1259
545	tali1259
546	tali1259
547	tali1259
548	bira1254
549	wala1266
550	gula1270
551	vari1239
552	baba1268
553	lagh1246
554	vang1243
555	gaoo1237
556	faga1239
557	oroh1237
558	owaa1237
559	renn1242
560	kazu1245
561	long1395
562	lung1249
563	leng1259
564	bael1237
565	baeg1237
566	fata1245
567	baur1252
568	area1240
569	baba1268
570	faga1239
571	baba1268
572	baur1252
573	chek1238
574	chek1238
575	saaa1240
576	saaa1240
577	chek1238
578	blab1237
579	bugh1239
580	blab1237
581	baur1252
582	baur1252
583	aros1241
584	aros1241
585	area1240
586	area1240
587	lauu1247
588	lauu1247
589	raka1237
590	kuot1243
591	west2538
592	palu1252
593	qabi1235
594	kome1238
595	kome1238
596	kome1238
597	kome1238
598	kome1238
599	lamp1243
600	lamp1243
601	lamp1243
602	lamp1243
603	lamp1243
604	lamp1243
605	lamp1243
606	lamp1243
607	lamp1243
608	lamp1243
609	lamp1243
610	lamp1243
611	lamp1243
612	lamp1243
613	kome1238
614	lamp1242
615	lamp1242
616	lamp1242
617	sewa1251
618	buol1237
619	indo1317
620	indo1317
621	indo1317
622	indo1317
623	indo1317
624	indo1317
625	indo1317
626	indo1317
627	indo1317
628	indo1317
629	indo1317
630	indo1317
631	indo1317
632	indo1317
633	indo1317
634	indo1317
635	babu1240
636	papo1239
637	papo1239
638	babu1240
639	hiww1237
641	apma1240
642	apma1240
643	saaa1241
644	sowa1244
645	seke1241
646	muyu1244
647	hali1244
648	achi1257
649	nung1283
650	cent2053
651	tawa1275
652	nort2828
653	fiji1243
654	nort2845
655	mala1479
656	tamb1254
657	kina1250
658	poly1242
659	niua1240
660	capi1239
661	bata1293
662	thai1261
663	sumb1241
664	rapa1245
665	ocea1241
666	viet1252
667	cent1989
668	cent2060
669	nimo1246
670	kala1377
671	sout2908
672	limo1248
673	cent2292
674	tola1247
675	nuku1259
676	mori1267
677	sout2741
678	itaw1240
679	ibal1244
680	shan1277
681	kank1243
682	grea1284
683	monn1252
684	wenm1239
685	magu1243
686	remo1247
687	romb1245
688	cuyo1237
689	tayy1238
690	kada1291
691	whit1267
692	hlai1238
