iso;language;latitude;longitude
NOCODE_Kuwaiti-Sign;Kuwaiti Sign Language;29.366667;47.966667
NOCODE_Yemeni-Sign;Yemeni Sign Language;15.348333;44.206389
NOCODE_Iraqi-Sign;Iraqi Sign Language;33.333333;44.383333
lsp;Panamanian Sign Language;8.966667;-79.533333
lst;Trinidad and Tobago Sign Language;10.666667;-61.516667
NOCODE_Gambian-Sign;Gambian Sign Language;13.455062; -16.679880
jls;Jamaican Sign Language;18.049925;-77.758042
pgz;Papua New Guinean Sign Language;-9.5;147.116667
hks;Hong Kong-Macau Sign Language;22.160631;113.555225
vsv;Valencian Sign Language;39.5;-0.75
NOCODE_Old-Bangkok-Sign;Old Bangkok Sign Language;13.75;100.466667
pys;Paraguayan Sign Language;-25.266667;-57.666667
NOCODE_Georgian-Sign;Georgian Sign Language;41.716667;44.783333
NOCODE_Guyana-Sign;Guyana Sign Language;6.8;-58.166667
ils;International Sign;49.735796;-30.077155
gds;Ghandruk Sign Language;28.377;83.807
iks;Inuit Sign Language;63.748611;-68.519722
jhs;Jhankot Sign Language;28.933333;82.9
jus;Jumla Sign Language;29.275278;82.183333
NOCODE_Alipur-Sign;Alipur Sign Language;16.843564;77.107525
NOCODE_Amami-Sign;Amami O Shima Sign Language;28.326389;129.374722
NOCODE_Angami-Sign;Angami Naga Sign Language;26;95
NOCODE_Bribri-Sign;Bribri Sign Language;9.620833;-82.844444
NOCODE_Brunca-Sign;Brunca Sign Language;9.966667;-84.833333
NOCODE_Bura-Sign;Bura Sign Language;10.478601;12.284840
NOCODE_Chatino-Sign;Chatino Sign Language;16.3;-97.316667
NOCODE_Enga-Sign;Enga Sign Language;-5.416667;143.5
NOCODE_Ghardaia-Sign-Language;Ghardaia Sign Language;32.483333;3.666667
NOCODE_Guinea-Bissau-Sign;Guinea-Bissau Sign Language;11.85;-15.566667
NOCODE_Kafr-Qasem-Sign;Kafr Qasem Sign Language;32.1151;34.9751
NOCODE_Kajana-Sign;Kajana Sign Language;3.888611;-55.572222
NOCODE_Keresan-Pueblo-Sign;Keresan Pueblo Indian Sign Language;35.503611;-106.723333
NOCODE_Mardin-Sign;Mardin Sign Language;37.316667;40.737778
NOCODE_Mbour-Sign;Mbour Sign Language;14.416667;-16.966667
NOCODE_Nanabin-Sign;Nanabin Sign Language;5.245634;-0.949953
NOCODE_Original-Costa-Rican-Sign;Original Costa Rican Sign Language;9.933333;-84.083333
syy;Al-Sayyid Bedouin Sign Language;31.284444;34.916111
tsy;Tebul Sign Language;14.499995;-3.499957
ygs;Yolngu Sign Language;-12.283333;136.816667
NOCODE_Old-Cayman-Sign;Old Cayman Sign Language;19.333333;-81.216667
