wals code	glottocode
aar	aari1239
aba	abau1245
abz	abaz1241
abd	abid1235
abi	abip1241
abk	abkh1244
abv	abui1241
abu	abun1252
tlp	acat1239
acn	acha1249
acg	acha1250
ach	ache1246
ace	achi1257
acm	achu1247
acu	achu1248
acl	acol1236
ada	adam1238
fua	adam1253
fgo	adam1253
adg	adan1251
adi	adio1239
oko	adiv1239
adn	adny1235
ady	adyg1241
adt	adyg1241
ash	adyg1241
adz	adze1240
awi	aeky1238
ktk	afad1236
qaf	afar1241
afr	afri1274
aga	agar1252
agh	aghe1239
agl	aghu1253
ahu	aghu1255
agu	agua1252
agr	agua1253
aht	ahte1237
aik	aika1237
ain	ainu1240
ayn	ainu1251
ajg	ajab1235
aja	ajas1235
aji	ajie1238
akb	akab1249
akc	akac1240
akk	akak1252
akn	akan1250
akw	akaw1239
akh	akha1245
axv	akhv1239
akl	akla1241
abm	alab1237
mxl	alac1244
agw	alag1248
ala	alam1246
alw	alaw1244
gah	alek1238
ale	aleu1260
aea	aleu1260
alg	algo1255
ald	alla1248
alc	alle1238
als	alse1251
aln	alun1238
alu	alut1245
aly	alya1239
amc	amah1246
amn	aman1265
amm	amap1240
ama	amar1272
amk	amar1274
nyi	amas1236
amq	amba1265
amb	ambu1247
amd	amdo1237
amt	amdo1237
ame	amel1241
asl	amer1248
amh	amha1245
emm	amii1238
ami	amis1246
amo	amoo1242
amx	anam1248
anx	andi1255
adk	ando1256
anj	anei1239
ane	anem1249
agm	anga1287
ant	anga1290
yli	angg1239
ang	ango1254
tnb	ango1257
ago	ango1258
ani	anii1246
ann	anin1240
any	anua1242
anu	anuf1239
ayi	anyi1245
ao	aona1235
apl	apal1257
apt	apat1240
api	apin1244
kbo	apma1241
aiz	apro1235
apk	apuc1241
gan	apuc1241
apu	apur1254
abn	arab1267
arb	arab1268
ark	arak1252
atb	aral1243
ard	aran1237
ana	arao1248
aho	arap1274
ara	araw1276
abo	arbo1245
arc	arch1244
arx	area1240
lsa	arge1236
ika	arhu1242
ari	arib1241
akr	arik1262
alk	arop1243
aro	aros1241
mkr	arua1260
cax	asha1243
cpa	ashe1273
hyo	asho1236
ass	assa1263
sug	assa1269
nsy	assy1241
ast	astu1245
pis	asue1235
pre	asut1235
esm	atac1235
atk	atak1252
uhi	atam1239
mxa	atat1238
ata	atay1247
ath	athp1241
ati	atik1240
ats	atsu1245
ocu	atzi1235
aul	aulu1238
aus	aust1271
au	auuu1241
ava	avar1256
avt	avat1244
avk	avik1243
avo	avok1242
awp	awac1239
awd	awad1243
awa	awap1236
auy	awiy1238
awn	awng1244
awt	awtu1239
awy	awyi1241
qay	ayac1239
ayw	ayiw1239
ayr	ayor1240
mxt	ayut1236
brb	baat1238
sis	baba1268
bdg	bada1257
bad	bade1248
bdm	badi1246
knb	badi1247
bfi	bafi1243
baf	bafu1246
bgs	baga1272
bag	bagi1246
bgi	bagr1243
bgv	bagv1239
bdw	baha1258
abh	baha1259
bhn	bahi1254
bpb	bahn1262
bys	bais1246
bak	baka1272
bka	baka1274
bki	baka1277
blz	bala1300
blg	bala1310
sbg	bala1311
blk	bala1315
bal	bali1278
bvi	bali1280
rav	balk1252
rbu	balk1252
rnr	balt1257
blt	balt1258
mbi	bamb1266
bam	bamb1269
bbm	bamb1270
bmn	bamu1253
ban	bana1305
bnj	band1339
gid	band1339
byu	band1339
bca	band1339
bwa	band1339
lnd	band1344
bnd	band1352
bnl	bang1339
bob	bang1354
bgm	bang1363
bgg	bang1368
bnw	bani1255
bnk	bank1256
bnn	bann1247
bnt	bant1286
ble	baou1238
bbu	bara1361
kbr	bara1370
baa	bara1377
brs	bara1380
cba	barb1263
grb	barc1235
brd	bard1255
bae	bare1276
mug	barg1252
bar	bari1284
kuk	bari1284
mti	bari1297
bry	baru1267
bas	basa1284
bsk	bash1264
bsq	basq1248
bqb	basq1248
bqg	basq1248
bqh	basq1248
bql	basq1248
bqn	basq1248
bqo	basq1248
bqr	basq1248
bqs	basq1248
bqz	basq1248
bqi	basq1248
bso	basq1250
bsr	bass1258
bto	bata1289
alx	bata1292
bkr	bata1293
ifu	bata1298
bat	bata1301
bth	bath1244
ttu	bats1242
baq	baur1253
bau	bauu1244
bzi	bauz1241
gba	bava1246
gau	bava1246
gvi	bava1246
baw	bawm1236
dhb	baya1257
bxj	bayu1240
bee	beem1239
bej	beja1238
blr	bela1254
bel	belh1239
mce	beli1260
bco	bell1243
bem	bemb1258
beb	bena1264
