wals code	glottocode
gim	benc1235
kkl	beng1239
ben	beng1280
bga	beng1282
bnq	beng1286
beo	beot1247
bdc	berb1259
brk	beri1254
bir	bero1242
ber	bert1248
mhm	besi1244
meb	beta1252
bti	beto1236
bkb	bett1235
bez	bezh1248
bhi	bhil1251
bho	bhoj1244
bfd	biaf1240
bik	biak1248
bit	biat1246
bid	bidi1241
nbb	bign1238
bia	bila1255
bln	bili1260
blx	bilo1248
bil	bilu1245
bim	bima1247
bmb	bimo1239
bin	bina1277
bni	bini1246
bkd	binu1244
bnm	binu1245
bii	biri1256
brz	birr1240
bsm	bisl1239
bis	biss1248
biu	bisu1246
gdb	bodo1267
bod	bodo1269
boi	boik1241
bok	boko1266
bol	boli1255
qbo	boli1262
bao	bona1250
rem	bond1245
bgo	bong1285
bgz	bong1289
bon	bong1291
bor	bora1263
orb	bora1271
kun	bord1248
ssh	boro1277
brr	boro1282
brc	boru1252
bos	bosn1245
yay	bouy1240
brh	brah1256
lsb	braz1236
bre	bret1244
bri	brib1243
bsl	brit1235
bkt	brok1247
bub	bube1242
bdk	budu1248
bdu	budu1250
bud	budu1265
bug	bugi1244
bgl	bugl1243
bgn	bugu1246
mta	buka1257
arp	buki1249
buk	buku1249
bnu	bula1255
bul	bulg1262
buy	buli1254
bui	buli1255
buw	bulu1251
bnb	buna1275
bua	bura1267
bpa	bura1292
brj	burj1242
bur	buru1296
buu	buru1303
bmr	buru1306
brn	buru1320
bus	busa1253
bsh	bush1247
kbw	bwek1238
bya	byan1241
cab	cabe1245
cac	cacu1241
cad	cadd1256
cah	cahu1264
qca	caja1238
tzu	cakc1244
mla	came1252
cml	caml1239
srd	camp1261
cam	cams1241
can	cand1248
cnl	cane1242
ckr	cane1242
cap	capa1241
crp	cara1272
hia	cari1279
crj	cari1279
umu	cari1279
guq	cari1279
nca	carn1240
crl	caro1242
crq	carr1249
cas	cash1251
csh	cash1254
dca	casi1235
ctw	cata1286
cav	cavi1250
cyg	cayu1261
cyv	cayu1262
snd	ceba1235
ceb	cebu1242
cem	cemu1238
psh	cent1973
khm	cent1989
nnc	cent1990
nic	cent1990
bai	cent2004
knr	cent2050
btk	cent2083
agc	cent2084
bkl	cent2087
mel	cent2101
ryu	cent2126
ych	cent2127
yun	cent2127
ypk	cent2127
ysl	cent2128
yus	cent2128
tce	cent2131
nhc	cent2132
pmc	cent2138
mcs	cent2140
aym	cent2142
pam	cent2145
bse	cent2194
bma	cent2194
kir	cerm1238
cay	chac1249
cbo	chac1251
abb	chad1249
arn	chad1249
cld	chal1275
naa	chal1275
chm	cham1309
cha	cham1312
chb	cham1313
chn	chan1310
chg	chan1313
chd	chau1259
cvc	chav1241
chy	chay1248
mxu	chay1249
chc	chec1245
ckh	chek1238
cpn	chep1245
che	cher1273
cyn	chey1247
msc	chib1270
cck	chic1270
cec	chic1271
cjo	chic1272
trc	chic1273
nko	chig1238
zch	chim1300
chi	chim1301
qec	chim1302
cma	chim1309
cmk	chim1310
csl	chin1283
ckl	chin1286
cpw	chip1241
ojm	chip1241
chp	chip1261
cpy	chip1262
cqt	chiq1248
qan	chiq1249
mzc	chiq1250
ctm	chit1248
bec	chit1275
cct	choc1276
cch	choc1279
col	chol1281
cln	chol1284
coi	chor1273
crt	chor1274
chr	chra1242
crh	chru1239
cve	chua1250
chj	chuj1249
chk	chuk1273
cly	chul1246
cum	chum1261
cuu	chuu1238
chv	chuv1255
cla	clal1241
coa	coah1252
kdz	coas1294
kjo	coas1295
mkb	coas1301
mco	coat1238
mxz	coat1241
coc	coca1259
ccp	coco1261
coe	coeu1236
cof	cofa1242
cog	cogu1240
clc	cola1237
tsf	colo1256
cwe	colu1241
cmn	coma1245
ccm	coma1246
cmc	come1251
cmx	como1259
coo	coos1249
zqc	copa1236
zqo	copa1236
tri	copa1237
cop	copt1239
crn	corn1251
psv	coyo1236
crk	cree1270
smn	cree1270
cri	crim1257
cro	crow1244
cua	cuaa1241
cub	cube1242
cui	cuib1242
ctc	cuic1234
cut	cuit1236
cul	culi1244
cup	cupe1243
cur	curr1243
qcu	cusc1236
ako	cypr1248
cze	czec1258
daa	daak1235
dha	daas1238
dad	dadi1250
dag	daga1275
dgb	dagb1246
dah	daha1245
dak	dako1258
bet	dalo1238
boq	damu1236
boj	damu1236
gal	damu1236
mil	damu1236
dnw	dang1274
dsh	dani1285
dbw	dann1241
dan	dann1241
dar	dara1250
ddf	darf1239
drg	darg1241
dri	dari1249
pkn	darl1243
drm	darm1243
sil	dars1235
dat	dato1239
dgr	daur1238
daw	daww1239
day	dayy1236
def	defa1248
deg	dege1246
dgx	dege1248
dre	dehu1237
den	deni1241
deu	deor1238
der	dera1245
dlm	dera1245
knk	dera1248
des	desa1247
dhl	dhal1245
glp	dhan1270
dhr	dhar1247
dhm	dhim1246
dhi	dhiv1236
dhu	dhur1239
djp	dhuw1249
dda	dhuw1249
bbl	dibo1245
did	didi1258
tsz	dido1241
diy	dier1241
dig	diga1241
ygd	diii1241
dms	dima1251
dim	dime1235
zaz	diml1238
dng	ding1239
diz	dizi1235
jam	djam1255
djm	djam1256
ndj	djee1236
jbt	djeo1235
dym	djim1235
dji	djin1251
djn	djin1253
dob	dobe1238
dol	dolg1241
dom	doma1258
dmk	doma1260
sta	dong1285
dgo	dong1290
dds	donn1238
dou	dout1240
doy	doya1240
dul	drun1238
dua	dual1243
dma	duma1253
pta	dumb1241
dmi	dumi1241
dun	duna1248
agd	dupa1235
prd	duru1236
ned	dutc1253
dbr	dutc1256
dli	dutc1256
dut	dutc1256
dja	dyaa1242
dyi	dyir1250
dyu	dyul1238
ksa	east1472
fea	east2288
fri	east2288
ydl	east2295
ydb	east2295
ylt	east2295
blc	east2304
mme	east2328
bru	east2332
mge	east2333
shy	east2337
kpw	east2341
kyl	east2342
tam	east2347
mag	east2352
arr	east2379
amp	east2379
mnk	east2426
tab	east2440
aml	east2443
fue	east2447
iql	east2534
ins	east2534
oji	east2542
pme	east2545
crg	east2555
ots	east2556
cme	east2563
orh	east2652
ebi	ebir1243
edo	edol1239
efi	efik1245
ega	egaa1242
aeg	egyp1253
eip	eipo1242
eja	ejag1239
eka	ekar1243
cor	elna1235
els	else1239
ora	emai1241
eml	emba1238
cat	embe1260
emc	embe1262
eme	emer1243
itb	emil1242
pnr	enap1235
ene	enet1250
ena	enga1252
egn	enge1239
eno	engg1245
eny	enya1247
epe	epen1239
moe	erzy1239
ese	esee1248
ess	esse1238
est	esto1258
sol	even1259
eve	even1259
evn	even1260
ewa	ewee1241
ewe	ewee1241
ewo	ewon1239
eya	eyak1241
grn	fare1241
far	faro1244
fqs	fass1245
fas	fasu1242
fef	fefe1239
fij	fiji1243
ndr	fiji1243
fsl	finn1310
fin	finn1318
foe	foii1241
pdp	folo1238
fon	fonn1241
frd	ford1242
for	fore1270
zfl	fran1266
lsf	fren1243
ful	fuln1247
fur	furr1244
bgr	furu1242
fut	futu1245
poa	fwai1237
fye	fyam1238
ga	gaaa1244
igs	gaam1241
gnd	gaan1243
gad	gade1242
gds	gads1258
gag	gaga1249
gaa	gaga1251
ghr	gahr1239
gll	gale1259
glc	gali1258
car	gali1262
kmh	gama1251
yuw	gami1243
gml	gami1243
kul	gamo1244
gam	gamo1244
lda	gand1255
yuk	gang1267
gap	gapa1238
grr	gara1261
grf	gari1256
gar	garo1247
grs	garu1246
gav	gavi1246
dug	gaww1239
gay	gayo1244
gwa	gbag1258
mdo	gbay1281
gbb	gbay1287
kre	gbay1288
gla	gela1261
gel	gela1263
dge	germ1281
alb	gheg1238
god	ghod1238
gho	ghot1243
nbh	ghul1238
gdr	gida1247
gil	gila1241
krb	gilb1244
nvs	gily1242
niv	gily1242
git	gitx1241
gdi	godi1239
ddj	godi1239
goe	goem1240
gog	gogo1265
gok	goka1239
gol	gola1255
gln	goli1247
goo	goon1238
grt	goro1259
gor	goro1270
gut	gour1243
grm	gour1243
koi	gras1249
gsl	gree1271
lcr	guad1242
mqc	guad1242
gdl	guad1242
skn	guah1255
ghb	guah1255
gjj	guaj1255
gmb	guam1248
gna	guan1268
gno	guan1269
wrk	guar1293
gto	guat1253
gyb	guay1257
gud	gude1246
gdf	gudu1252
gue	guer1240
nhx	guer1241
amz	guer1243
ggd	guga1239
guu	gugu1255
guh	guhu1244
gfr	guia1246
zhn	guib1245
guj	guja1252
goj	guja1253
gir	gula1265
gul	gula1269
arg	gulf1241
arj	gulf1241
gmt	guma1253
gmw	guma1254
gmz	gumu1244
guw	gunn1250
bbw	gunw1252
gny	guny1241
guf	gupa1247
hwr	gura1251
grg	gura1252
ggu	gure1255
gji	guri1247
gro	guro1248
gur	guru1261
gus	gusi1247
kth	gwic1235
had	hadz1240
hai	haid1248
hsl	hais1244
hcr	hait1244
lai	haka1240
hak	hakk1236
hln	hala1252
hlb	halb1244
kha	halh1238
hal	hali1244
hlu	halk1245
msq	halk1245
hli	halk1245
hmr	hame1242
ham	hamt1247
hhu	hang1263
han	hani1248
rag	hano1246
hnn	hanu1241
hrr	hara1271
hrs	hars1241
har	haru1245
ahs	hass1238
hat	hata1243
hau	haus1257
hlp	hava1248
hav	hava1248
yav	hava1248
haw	hawa1245
hwc	hawa1247
hya	haya1250
hdi	hdii1240
hba	hebr1245
heb	hebr1245
heh	hehe1240
hei	heil1246
hem	hemb1242
her	here1253
hid	hida1246
cho	high1242
tos	high1243
zqs	high1276
nsz	high1278
arh	hija1235
hil	hili1240
hin	hind1269
hnk	hinu1240
hix	hixk1239
lic	hlai1239
hma	hmar1241
hmd	hmon1333
hoa	hoav1238
wnb	hoch1243
hol	holo1240
hks	hong1241
ho	hooo1248
hop	hopi1249
hre	hree1244
huc	huaa1248
hmb	huam1247
qhu	huam1248
hmo	huam1250
grj	huar1255
htc	huas1256
nhh	huas1257
mzh	huau1238
klb	huba1236
tee	hueh1236
hui	huic1243
hnd	hund1239
hun	hung1274
duk	huns1239
hzb	hunz1247
hup	hupa1239
hpd	hupd1244
iaa	iaai1238
iat	iatm1242
iau	iauu1242
iba	iban1264
ibn	iban1267
ibi	ibib1240
ics	icel1236
ice	icel1247
beg	idaa1241
ido	idom1241
idu	idum1241
idn	idun1242
ige	iged1239
ign	igna1246
iha	ihaa1241
ik	ikkk1242
kpo	ikpo1238
ila	ilaa1246
ilo	ilok1237
qim	imba1240
imo	imon1245
ipi	indi1237
dgi	indo1311
inj	indo1316
ind	indo1316
baj	indo1317
cin	ines1240
iga	inga1252
izh	ingr1248
ing	ingu1240
kbi	inpu1234
isl	inte1259
oto	iowa1245
iqu	iqui1243
irx	iran1263
irq	iraq1241
irr	irar1238
irs	iris1235
iri	iris1253
irm	iris1253
ird	iris1253
ise	isek1239
isi	isir1237
isn	isna1241
iso	isok1239
iss	isra1236
npa	isth1241
nmi	isth1242
zai	isth1244
lii	ital1275
ifi	ital1282
ita	ital1282
itw	itaw1240
ite	itel1242
ito	iton1250
itz	itza1241
mie	iumi1238
iva	ivat1242
ivs	ivat1242
iwa	iwai1244
iwm	iwam1256
ixc	ixca1245
ixi	ixil1250
oix	ixte1237
izi	izie1238
ijo	izon1238
bna	jama1261
jwr	jama1261
jmm	jama1261
jcr	jama1262
mja	jami1235
jms	jams1239
zha	jang1254
nih	japa1238
jpr	japr1238
jaq	jaqa1244
jrw	jara1245
jar	jara1263
djr	jaru1254
jav	java1254
jeb	jebe1250
jah	jeha1242
jeh	jehh1245
jem	jeme1245
jel	jeri1242
jia	jiar1239
gyc	jiar1239
rgc	jiar1239
apj	jica1244
jin	jino1236
csk	jola1262
dio	jola1263
jun	juan1238
juh	juho1239
juk	juku1254
jum	juma1249
jur	jurc1239
jmo	jurm1239
jrn	juru1256
kbt	kaba1276
kab	kaba1278
kby	kabi1261
kbl	kaby1243
kac	kach1279
jng	kach1280
blj	kaci1244
kdw	kadi1248
kef	kafa1242
kgm	kago1247
kgr	kagu1239
kai	kaia1245
kng	kain1272
krr	kair1263
kaw	kaiw1246
kae	kaki1249
klh	kala1372
kal	kala1373
kly	kala1377
klz	kala1384
klq	kala1397
grw	kala1399
gre	kala1399
gso	kala1399
klp	kala1400
kls	kali1308
kgu	kalk1246
kiq	kalm1243
kmk	kalm1243
oir	kalm1243
kll	kalu1248
kms	kama1351
woi	kama1365
kmz	kama1367
kak	kama1370
kma	kama1373
kba	kamb1297
kam	kamb1299
kmi	kami1256
kmr	kamo1255
kmw	kamu1258
xns	kana1283
cnm	kana1291
kbu	kane1243
kky	kank1243
kno	kano1245
kyo	kany1247
kpn	kapi1249
sar	kapr1245
cak	kaqc1274
kkw	kara1289
tof	kara1462
krm	kara1464
krc	kara1465
kkp	kara1467
krt	kara1474
krj	kara1476
kar	kara1482
kmj	kara1483
kra	kara1486
kao	kara1487
jva	kara1500
mik	karb1241
krl	kare1335
kri	kari1255
vka	kari1304
kna	kari1311
kdg	kari1317
kyr	kark1258
krk	karo1304
kaa	karo1305
ksm	kase1253
xsm	kase1253
svc	kash1274
ksu	kash1274
kas	kash1277
ksh	kash1280
kad	katc1249
ktc	katc1249
kat	kate1253
ktz	kati1270
ktl	katl1237
kto	kato1244
kau	kaul1240
kaq	kaur1267
kaj	kaur1271
kws	kawa1283
kay	kaya1319
kyz	kaya1329
kyp	kaya1330
kyt	kayt1238
kaz	kaza1248
ked	keda1252
kei	keii1239
kek	kekc1242
kap	kela1255
klt	kela1258
kel	kele1258
kmt	kemt1242
ken	keng1240
nku	kenu1236
nbd	kenu1236
ksl	keny1241
kyg	keny1279
keo	keoo1238
ker	kera1255
krq	kere1280
kte	kete1252
ktn	kete1254
ket	kett1243
kew	kewa1250
khk	khak1248
khg	khal1275
knz	kham1282
khd	kham1282
kty	khan1273
kan	khan1278
khr	khar1287
khs	khas1269
khi	khin1240
kmu	khmu1256
tex	khor1269
twx	khor1269
khw	khow1242
khu	khum1248
khn	khun1259
khv	khva1239
qch	kich1262
kic	kick1244
kik	kiku1240
ski	kild1236
klv	kili1267
klw	kili1268
kim	kima1246
mnu	kimm1245
ksp	kimm1246
knn	kinn1249
kin	kiny1244
kio	kiow1266
kie	kire1240
kfy	kirg1245
kgz	kirg1245
kkr	kiri1256
ksr	kisa1266
kis	kiss1245
sod	kist1241
kij	kitj1240
kit	kits1249
ktb	kitu1246
klm	klam1254
kla	klao1243
koa	koas1236
kob	kobo1249
kod	koda1255
sre	koho1244
koh	kohu1244
kta	koit1244
gug	koka1244
kok	kokb1239
kkt	koko1269
kol	kola1242
koo	kola1285
grp	kols1241
xbi	komb1272
kou	komc1235
kag	kome1238
yzv	komi1268
kzy	komi1268
kop	komi1269
kom	komo1258
kda	kond1295
kkn	konk1267
kkb	konk1269
kni	konn1242
fio	koon1244
kon	koon1244
kjr	koor1239
krn	kora1292
krf	kora1294
ssl	kore1273
kor	kore1280
kje	kore1283
kku	kork1243
kfe	koro1298
krw	koro1312
kry	kory1246
yal	kosa1249
kos	kosr1238
kot	kota1263
eko	koti1238
ktt	kott1239
koy	koya1251
kch	koyr1240
kse	koyr1242
kyn	koyu1237
kpa	kpan1246
krh	krah1246
kqq	kren1239
knq	krio1252
isa	kris1246
kro	kron1241
krz	kryt1240
tla	kuan1248
kui	kuii1252
kiu	kuii1253
kkq	kuik1246
kkz	kukn1238
kya	kuku1273
knc	kuku1280
klg	kulu1253
kum	kuma1273
mto	kuma1274
nel	kuma1276
kmn	kuma1280
gum	kumb1268
die	kumi1248
tja	kumi1248
kuq	kumy1244
knm	kuna1268
gnb	kunb1251
xun	kung1261
boa	kuni1265
kmp	kuni1267
kjn	kunj1245
atm	kunz1244
klk	kuoo1238
kuo	kuot1243
seb	kups1238
kko	kura1250
kur	kuru1302
kus	kusu1250
kut	kute1249
kuu	kuuk1238
kuv	kuvi1243
kwm	kwaa1269
kwa	kwai1243
kwk	kwak1269
kwr	kwam1252
kwn	kwan1273
buj	kwas1243
kwz	kwaz1243
koe	kweg1241
gnn	kwin1241
kwo	kwom1262
kxo	kxoe1243
kyk	kyak1244
kgy	kyer1238
laa	laal1242
lab	labu1248
lac	laca1243
lch	lach1248
lad	lada1244
ldn	ladi1250
lno	ladi1251
laf	lafo1243
lag	lagw1237
lha	laha1250
lah	lahu1253
mwl	lake1258
lkk	lakk1238
lak	lakk1252
vat	lako1244
lkt	lako1247
all	lala1268
lmh	lama1277
lmg	lama1288
lmn	lamb1269
lmb	lamb1271
lmu	lame1260
lns	lamn1239
lmp	lamp1243
lla	lamu1254
lgi	lang1320
lan	lang1324
lao	laoo1244
lar	lara1258
lrd	lard1243
lrk	lari1255
lat	latv1249
lje	lauj1238
lau	lauu1247
lov	lave1248
bra	lave1249
lav	lavu1241
laz	lazz1240
cle	leal1235
lec	leco1242
kli	ledo1238
leg	lega1249
agb	legb1242
llm	lele1264
lel	lele1276
len	lena1238
ldu	lend1245
lng	leng1262
agt	leni1238
lnj	leni1238
lep	lepc1244
les	lese1243
let	leti1246
lew	lewo1242
lez	lezg1247
lho	lhom1239
kpe	libe1247
ael	liby1240
itg	ligu1248
lil	lill1248
lim	limb1266
lin	ling1263
naj	lish1245
nap	lish1246
lis	lisu1250
lit	lith1251
liv	livv1244
lob	lobi1245
lgt	logo1259
lok	loko1255
lma	loma1260
lgu	long1395
lon	loni1238
lnw	lonw1238
lot	loth1237
lou	louu1245
brl	lowa1242
srl	lowe1385
dni	lowe1415
tnl	lowe1425
chx	lowl1260
twe	lowl1265
loz	lozi1239
wet	luan1263
blu	luba1249
cil	luba1249
kil	luba1250
luc	luch1239
lug	lugb1240
lui	luis1253
lul	lule1238
lbu	lund1266
lud	lund1271
luo	luok1236
miz	lush1249
lus	lush1252
kkv	lusi1240
lu	luuu1242
luv	luva1239
jlu	luwo1239
lux	luxe1241
lye	lyel1241
myn	maan1238
fum	maas1239
mab	maba1277
mcg	maca1259
mca	maca1260
mcd	mace1250
mch	mach1267
mac	macu1259
mcn	macu1260
mdz	mada1282
mda	mada1293
ma	made1252
mad	madi1260
mdl	madn1237
mae	maee1241
mgh	maga1260
mgn	magu1243
mka	maho1249
may	maib1239
mgi	mail1248
mpr	maip1246
msn	mais1250
mai	mait1250
maj	maja1242
mkz	maka1304
mks	maka1311
mkj	maka1316
mak	maka1318
mua	makh1264
mkl	makl1246
mkd	mako1251
mkw	maku1246
mym	mala1464
ktp	mala1479
myk	mala1479
mds	mala1481
dam	mala1522
mlc	mala1533
mle	male1284
mlu	male1289
psm	male1292
mli	mali1284
tmm	malo1243
mlt	malt1254
mmn	mama1275
mms	mama1276
mmi	mamb1294
mmw	mamb1296
mam	mamc1234
mmp	mamp1244
mmz	mams1234
mmv	mamv1243
nmm	mana1288
mnm	mana1295
mbu	mana1298
mnc	manc1252
kug	mand1415
mnd	mand1415
mjk	mand1419
mkg	mand1436
mdk	mand1436
mnr	mand1442
mdn	mand1446
mem	mane1266
myi	mang1381
mbt	mang1394
mgq	mang1398
mng	mang1405
sgb	mani1235
mei	mani1292
mkn	mank1251
man	mann1248
mns	mans1258
mnx	manx1243
nma	maon1238
com	maor1244
mao	maor1246
mpy	mapo1246
map	mapu1245
cde	maqu1238
mhi	mara1378
cmr	mara1382
mra	mara1385
mku	mara1386
mrn	mara1404
mny	marg1253
mrg	marg1265
mrr	mari1419
mrh	mari1424
mav	mari1435
mar	mari1440
akm	marm1234
giz	maro1246
msh	mars1254
mrt	mart1255
mwa	mart1256
ylb	mart1256
mnj	mart1256
mru	maru1249
maa	masa1300
mas	masa1322
kuz	mati1250
mts	mati1255
myr	mats1244
mtl	matt1238
mtb	matu1259
mtk	matu1261
mau	maun1240
mwc	mawc1242
max	maxa1247
mya	maya1282
myy	mayk1239
myg	mayo1261
myo	mayo1264
mzn	maza1291
maz	maza1293
mba	mbaa1245
mbb	mbab1239
mhu	mbal1255
mbr	mbar1260
mby	mbay1241
mbz	mbee1250
mbe	mber1257
mbl	mbol1247
mdw	mbos1242
mbg	mbug1240
mmb	mbul1263
mbm	mbum1254
mee	meen1242
mhk	mehe1243
meh	mehr1241
mke	meke1243
mxe	mele1250
mde	mend1266
men	meno1252
mnt	ment1249
mey	meny1245
mer	meri1244
apc	mesc1238
fox	mesk1242
arq	meso1252
mea	meya1236
pop	mezo1235
otm	mezq1235
ill	miam1252
mpt	mian1256
mcf	mich1243
nhm	mich1245
mid	mido1240
mig	miga1249
mij	miju1243
mki	mika1239
mic	mikm1235
min	mina1268
mnv	mina1269
hna	mina1276
fuz	mind1253
mgl	ming1252
hmi	mini1256
htt	mini1256
hok	minn1241
chz	minn1241
xia	minn1241
taq	minn1241
mir	miri1266
msg	misi1242
mhl	misi1242
mis	misk1235
zap	mitl1236
mit	mitu1240
zam	mixt1426
miy	miya1266
mlm	mlab1235
cga	moch1256
mcc	moch1259
mcv	moco1246
gcy	mode1248
grk	mode1248
mof	mofu1248
mog	mogh1245
moj	moha1256
moh	moha1258
mhc	mohe1244
mok	moki1238
bku	mokp1239
mmo	moks1248
mll	mola1238
one	molm1235
mqf	momu1241
but	mong1330
mgo	mong1338
mgd	mong1342
mni	moni1261
mon	monn1252
moa	mono1273
mno	mono1275
mtg	mont1268
mnz	monz1249
mop	mopa1243
mcr	mori1278
mor	morm1235
mro	moro1285
mri	moro1289
amr	moro1292
mou	moru1253
mos	mose1249
moo	moss1236
mwo	motl1237
mtu	motu1246
kmo	moun1252
mov	movi1243
mpu	mpur1239
mdb	mudb1240
aoj	mufi1238
mui	muin1242
mko	muku1242
mul	mula1253
mlk	mull1237
mna	muna1247
bhu	mund1320
mun	mund1320
mdg	mund1325
mdu	mund1326
mud	mund1327
muu	mund1330
mgk	mung1266
mse	muns1251
muo	muon1246
mrk	muri1260
mrl	murl1244
mpa	murr1258
mur	murs1242
mrw	muru1266
hum	muru1274
mgu	musg1254
tmu	musl1236
msm	muso1238
mus	muss1246
muy	muyu1244
mup	mwag1236
mwe	mwer1248
mpo	myen1241
nas	naas1242
nab	naba1256
nad	nade1244
naf	nafa1258
npn	naga1394
bio	naii1241
nkk	naka1260
nak	naka1262
nal	nali1244
kho	nama1264
nam	nami1256
nai	nana1257
nde	nand1264
nan	nand1266
nrg	nane1238
ngg	nang1259
ngk	nang1259
nnk	nank1250
nnt	nant1249
npu	napu1241
nar	nara1262
nro	naro1249
nrm	naro1251
nph	narp1239
ngr	narr1259
nsk	nask1242
nat	natc1249
ntn	nate1242
nbk	natu1249
yna	nauk1242
nau	naur1243
nav	nava1243
nax	naxi1245
kmb	ndei1235
ndg	ndog1248
ndo	ndon1254
ndu	ndum1239
mga	ndun1249
ndt	ndut1239
ndy	ndyu1242
itn	neap1235
mmu	nege1240
neg	negi1245
neh	neha1247
nnd	nend1239
ntu	nene1249
nen	nene1249
nne	neng1238
nep	nepa1252
new	newa1246
nwd	newa1246
nzs	newz1236
ney	neyo1238
nez	nezp1238
ntj	ngaa1240
nbr	ngab1239
ngj	ngad1258
mrj	ngad1258
ngd	ngad1261
olm	ngaj1237
plp	ngaj1237
nkb	ngal1292
ngl	ngal1293
ngm	ngam1268
nga	ngan1291
ngn	ngan1295
bnr	ngar1235
ngy	ngar1235
ung	ngar1284
nlr	ngar1286
nlu	ngar1287
anc	ngas1240
ngw	ngaw1240
nbm	ngba1284
ngb	ngba1285
leb	ngel1238
nge	ngem1255
mkq	ngem1255
msk	ngil1242
nti	ngit1239
ngz	ngiz1242
knp	ngka1235
