iso,languoid,affiliation,latitude,longitude,macro_area,country
oog,Ong-Ir,"'''Austroasiatic, Katuic, Ta''''oihic, Nuclear Ta''''oihic, Ong-Ta''''oih'''",15.12254,106.00126,Eurasia,Laos
tth,'Upper Ta'oih',"'''Austroasiatic, Katuic, Ta''''oihic, Nuclear Ta''''oihic, Ong-Ta''''oih'''",16.186515,107.056135,Eurasia,"United States, Viet Nam, Laos"
tto,'Lower Ta'oih',"'''Austroasiatic, Katuic, Ta''''oihic, Nuclear Ta''''oihic, Ong-Ta''''oih'''",15.9083,106.87347,Eurasia,Laos
kgd,Kataang,"'''Austroasiatic, Katuic, Ta''''oihic, Nuclear Ta''''oihic'''",16.18229,106.4588,Eurasia,Laos
ngt,Ngeq-Khlor,"'''Austroasiatic, Katuic, Ta''''oihic'''",15.62109,106.8773,Eurasia,Laos
khf,Khuen,"'''Austroasiatic, Khmuic, Khmu'''''''",21.07928,101.326945,Eurasia,United States China Laos 
kjg,Khmu,"'''Austroasiatic, Khmuic, Khmu'''''''",20.246292,101.67116,Eurasia,"Myanmar, Viet Nam, France, United States, China, Laos, Thailand"
nkp,Niuatoputapu,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central Pacific linkage, Tokelau-Fijian, Polynesian, Nuclear Polynesian, East Uvean-Niuafo''''ou'''",-15.96596,-173.74249,Papua,Tonga
num,'Niuafo'ou',"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central Pacific linkage, Tokelau-Fijian, Polynesian, Nuclear Polynesian, East Uvean-Niuafo''''ou'''",-15.60144,-175.63991,Papua,Tonga
wls,Wallisian,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central Pacific linkage, Tokelau-Fijian, Polynesian, Nuclear Polynesian, East Uvean-Niuafo''''ou'''",-13.290304,-176.207027,Papua,"Wallis and Futuna, Fiji, New Caledonia, Vanuatu"
lzl,Litzlitz,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Central Vanuatu, Malakula, Neve''''ei-Naman'''",-16.13309,167.41511,Papua,Vanuatu
vnm,'Neve'ei',"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Central Vanuatu, Malakula, Neve''''ei-Naman'''",-16.22534,167.42689,Papua,Vanuatu
aai,Arifama-Miniafia,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Are linkage'''",-9.15565,149.24638,Papua,Papua New Guinea
bmk,Ghayavi,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Are linkage'''",-10.011,149.84038,Papua,Papua New Guinea
dgg,Doga,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Are linkage'''",-9.63698,149.84148,Papua,Papua New Guinea
mwc,Are,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Are linkage'''",-9.67147,149.9994,Papua,Papua New Guinea
pwg,Gapapaiwa,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Are linkage'''",-9.73317,149.85373,Papua,Papua New Guinea
ubr,Ubir,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Are linkage'''",-9.59044,149.39621,Papua,Papua New Guinea
