iso,languoid,affiliation,latitude,longitude,macro_area,country
wat,Kaninuwa,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Are linkage'''",-9.23148,150.25287,Papua,Papua New Guinea
grw,Gweda,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage, Eastern Taupota'''",-10.21731,150.42133,Papua,Papua New Guinea
hgw,Haigwai,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage, Eastern Taupota'''",-10.27409,150.25556,Papua,Papua New Guinea
tpa,Taupota,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage, Eastern Taupota'''",-10.2275,150.37277,Papua,Papua New Guinea
wag,'Wa'ema',"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage, Eastern Taupota'''",-10.28966,150.39832,Papua,Papua New Guinea
mum,Maiwala,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage'''",-10.32822,150.33008,Papua,Papua New Guinea
mvn,Minaveha,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage'''",-9.59922,150.50133,Papua,Papua New Guinea
tbo,Tawala,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage'''",-10.3115,150.64383,Papua,Papua New Guinea
wed,Wedau,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage'''",-10.12464,150.17188,Papua,Papua New Guinea
ykk,Yakaikeke,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Are-Taupota linkage, Taupota linkage'''",-10.08519,149.98189,Papua,Papua New Guinea
bwd,Bwaidoka,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Bwaidoga linkage, Bwaidoka-Iduna'''",-9.51158,150.29725,Papua,Papua New Guinea
viv,Iduna,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Bwaidoga linkage, Bwaidoka-Iduna'''",-9.34361,150.24037,Papua,Papua New Guinea
mzz,Maiadomu,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Bwaidoga linkage, Iamalelic'''",-9.47132,150.75989,Papua,Papua New Guinea
yml,Iamalele,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Bwaidoga linkage, Iamalelic'''",-9.45005,150.57308,Papua,Papua New Guinea
ddi,Diodio,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Bwaidoga linkage'''",-9.38654,150.16758,Papua,Papua New Guinea
klx,Koluwawa,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Bwaidoga linkage'''",-9.42742,150.46185,Papua,Papua New Guinea
mox,Molima,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Bwaidoga linkage'''",-9.57457,150.61417,Papua,Papua New Guinea
bwf,Boselewa,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Dobu-Duau linkage, Boselewa-Galeya'''",-9.44763,150.69337,Papua,Papua New Guinea
gar,Galeya,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Dobu-Duau linkage, Boselewa-Galeya'''",-9.54137,150.83581,Papua,Papua New Guinea
bdd,Bunama,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Dobu-Duau linkage, Bunama-Mwatebu'''",-10.07609,151.06647,Papua,Papua New Guinea
mwa,Mwatebu,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Dobu-Duau linkage, Bunama-Mwatebu'''",-10.0271,151.06551,Papua,Papua New Guinea
dob,Dobu,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Dobu-Duau linkage'''",-9.63239,150.82504,Papua,Papua New Guinea
dva,Duau,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Dobu-Duau linkage'''",-10.18696,151.21773,Papua,Papua New Guinea
sew,Sewa Bay,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Dobu-Duau linkage'''",-10.02772,150.95608,Papua,Papua New Guinea
dww,Dawawa,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Kakabai linkage'''",-10.16915,149.99865,Papua,Papua New Guinea
kqf,Kakabai,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage, Kakabai linkage'''",-10.29763,150.02702,Papua,Papua New Guinea
aui,Anuki,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage'''",-9.6692,149.82236,Papua,Papua New Guinea
gvs,Gumawana,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D''''Entrecasteaux linkage'''",-9.28497,150.7623,Papua,Papua New Guinea
bei,'Bekati',"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Land Dayak, Bakati'''''''",1.3307,109.57641,Papua,Indonesia (Papua)
lra,'Rara Bakati',"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Land Dayak, Bakati'''''''",1.270265,109.538965,Papua,"Indonesia (Papua), Malaysia (Peninsular)"
sre,Sara,"'''Austronesian, Nuclear Austronesian, Malayo-Polynesian, Land Dayak, Bakati'''''''",1.20403,109.6155,Papua,Indonesia (Papua)
mej,Meyah,"'''East_Bird''''s_Head, Meax'''",-1.18016,133.6177,Papua,Indonesia (Papua)
mtj,Moskona,"'''East_Bird''''s_Head, Meax'''",-1.62201,133.14488,Papua,Indonesia (Papua)
mnx,Sougb,'''East_Bird''''s_Head''',-1.49611,133.9497,Papua,Indonesia (Papua)
bzp,Kemberano,"'''South_Bird''''s_Head_Family, East South Bird''''s Head'''",-2.24495,132.98754,Papua,Indonesia (Papua)
jbj,Arandai,"'''South_Bird''''s_Head_Family, East South Bird''''s Head'''",-2.08016,132.98337,Papua,Indonesia (Papua)
xod,Kokoda,"'''South_Bird''''s_Head_Family, East South Bird''''s Head'''",-2.12872,132.44949,Papua,Indonesia (Papua)
kzm,Kais,'''South_Bird''''s_Head_Family''',-1.78077,132.31177,Papua,Indonesia (Papua)
pru,Puragi,'''South_Bird''''s_Head_Family''',-2.05779,132.30431,Papua,Indonesia (Papua) 
uka,Kaburi,'''South_Bird''''s_Head_Family''',-1.92547,132.52827,Papua,Indonesia (Papua)
irr,Ir,"'''Spurious, Austroasiatic, Katuic, Ta''''oihic, Nuclear Ta''''oihic'''",15.71875,106.56415,Eurasia,Laos 
llo,Khlor,"'''Spurious, Austroasiatic, Katuic, Ta''''oihic'''",15.6415,106.60586,Eurasia,Laos
mxn,Moi (Indonesia),"'''West_Bird''''s_Head, Seget-Moi'''",-0.96532,131.5203,Papua,Indonesia (Papua)
sbg,Seget,"'''West_Bird''''s_Head, Seget-Moi'''",-1.36931,131.21812,Papua,Indonesia (Papua)
kps,Tehit,"'''West_Bird''''s_Head, South West Bird''''s Head'''",-1.51049,131.98485,Papua,Indonesia (Papua)
kzz,Kalabra,"'''West_Bird''''s_Head, South West Bird''''s Head'''",-1.43074,131.61701,Papua,Indonesia (Papua)
msg,Moraid,"'''West_Bird''''s_Head, South West Bird''''s Head'''",-1.04083,131.96538,Papua,Indonesia (Papua)
bsa,Abinomn,Abinomn,-2.92281,138.89052,Papua,Indonesia (Papua)
uby,Ubykh,Abkhaz-Adyge,43.67,39.67,Eurasia,Turkey
abk,Abkhazian,"Abkhaz-Adyge, Abkhaz-Abaza",42.233375,41.29627,Eurasia,"Russia, Turkey, Georgia, Ukraine"
abq,Abaza,"Abkhaz-Adyge, Abkhaz-Abaza",41.12144,42.72732,Eurasia,"Russia, Turkey, Germany"
ady,Adyghe,"Abkhaz-Adyge, Circassian",44,39.33,Eurasia,"Turkey, United States, Israel, Australia, Egypt, Macedonia, France, Russia, Netherlands, Germany, Syria, Jordan, Iraq"
kbd,Kabardian,"Abkhaz-Adyge, Circassian",43.50822,43.39182,Eurasia,"Turkey, United States, Russia, Jordan, Syria, Germany"
kgr,Abun,Abun,-0.57073,132.4159,Papua,Indonesia (Papua)
xad,Adai,Adai,31.631402,-92.005921,North America,United States
auj,Awjilah-Foqaha,"Afro-Asiatic, Berber",29.23411,21.18188,Africa,Libya
gha,Ghadames,"Afro-Asiatic, Berber",30.11683,10.01654,Africa,"Tunisia, Libya"
jbn,Nafusi,"Afro-Asiatic, Berber",33.43983,9.83329,Africa,"Tunisia, Libya"
kab,Kabyle,"Afro-Asiatic, Berber, Kabyle-Atlas Berber",36.41025,4.76137,Africa,"Belgium, Algeria, France"
shi,Tachelhit,"Afro-Asiatic, Berber, Kabyle-Atlas Berber, Atlas Berber",29.785385,-7.778785,Africa,"Morocco, Algeria, France"
tzm,Central Moroccan Berber,"Afro-Asiatic, Berber, Kabyle-Atlas Berber, Atlas Berber",32.741545,-2.40872,Africa,Morocco Algeria France 
gho,Ghomara,"Afro-Asiatic, Berber, Kabyle-Atlas Berber, Atlas Berber, Northwestern Moroccan Berber",34.79792,-4.6696,Africa,Morocco
sjs,Senhaja De Srair,"Afro-Asiatic, Berber, Kabyle-Atlas Berber, Atlas Berber, Northwestern Moroccan Berber",34.99924,-4.51293,Africa,Morocco
siz,Siwi,"Afro-Asiatic, Berber, Libyan-Egyptian Oases Berber",29.20228,25.51974,Africa,Egypt
swn,Sawknah-Fogaha,"Afro-Asiatic, Berber, Libyan-Egyptian Oases Berber",29.16,15.97425,Africa,Libya
taq,Tamasheq,"Afro-Asiatic, Berber, Tuareg",14.20384,-2.41269,Africa,"Burkina Faso, Algeria, Mali"
thv,Tahaggart Tamahaq,"Afro-Asiatic, Berber, Tuareg",22.5908033333,8.7316933333,Africa,"Niger, Libya, Algeria"
thz,Tayart Tamajeq,"Afro-Asiatic, Berber, Tuareg",16.92319,7.6743,Africa,Niger
ttq,Tawallammat Tamajaq,"Afro-Asiatic, Berber, Tuareg",13.98783,4.47692,Africa,"Niger, Nigeria, Mali"
gnc,Guanche,"Afro-Asiatic, Berber, Unclassified Berber",28,-15.5,Africa,Spain
NOCODE_Tetserret,Tetserret,"Afro-Asiatic, Berber, Western Berber",14.973333,5.699722,Africa,Niger
zen,Zenaga,"Afro-Asiatic, Berber, Western Berber",16.81997,-16.17106,Africa,"Mauritania, Senegal"
cnu,Western Algerian Berber,"Afro-Asiatic, Berber, Zenatic",36.59171,2.19899,Africa,Algeria
NOCODE_Tunisian-Zuwara,Tunisian-Zuwara Berber,"Afro-Asiatic, Berber, Zenatic",32.863859,11.299621,Africa,Tunisia
rif,Tarifiyt-Beni-Iznasen-Eastern Middle Atlas Berber,"Afro-Asiatic, Berber, Zenatic",35.328085,-1.87354,Africa,"Netherlands, Algeria, France, Morocco, Germany, Belgium, Spain"
sds,Sened,"Afro-Asiatic, Berber, Zenatic",34.46781,9.43778,Africa,Tunisia
shy,Chaouia of the Aures,"Afro-Asiatic, Berber, Zenatic",35.18674,6.88901,Africa,Algeria
grr,Sud Oranais-Gourara,"Afro-Asiatic, Berber, Zenatic, Northern Saharan Oasis Berber",29.11067,0.01992,Africa,Algeria
mzb,Tumzabt,"Afro-Asiatic, Berber, Zenatic, Northern Saharan Oasis Berber",32.50135,3.85035,Africa,Algeria
tia,Tidikelt-Tuat Tamazight,"Afro-Asiatic, Berber, Zenatic, Northern Saharan Oasis Berber",27.01903,1.86218,Africa,Algeria
oua,Ouargli,"Afro-Asiatic, Berber, Zenatic, Northern Saharan Oasis Berber, Ouargli-Oued Righ",31.94537,5.28444,Africa,Algeria
tjo,Oued Righ,"Afro-Asiatic, Berber, Zenatic, Northern Saharan Oasis Berber, Ouargli-Oued Righ",33.34886,6.06562,Africa,Algeria
mlr,Vame,"Afro-Asiatic, Chadic, Biu-Mandara, Hurza",10.94813,14.21306,Africa,Cameroon
mqb,Mbuko,"Afro-Asiatic, Chadic, Biu-Mandara, Hurza",10.77883,14.16766,Africa,Cameroon
gid,Gidar,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara",9.874715,14.07845,Africa,"Cameroon, Chad"
hya,Hya,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Higic",10.481395,13.525975,Africa,"Nigeria, Cameroon"
kvj,Psikye,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Higic",10.67704,13.56897,Africa,"Nigeria, Cameroon"
bcw,Bana,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Higic, Nkafa-Kirya-Bana",10.35353,13.61308,Africa,Cameroon
fkk,Kirya-Konzel,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Higic, Nkafa-Kirya-Bana, Nkafa-Kirya",NA,NA,Africa,Nigeria
hig,Kamwe,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Higic, Nkafa-Kirya-Bana, Nkafa-Kirya",10.64603,13.51362,Africa,Nigeria
kot,Lagwan,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Kotoko Central",11.559215,14.98836,Africa,"Cameroon, Chad"
kqx,Mser,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Kotoko Central",11.976475,15.03727,Africa,"Cameroon, Chad"
jia,Jina,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Kotoko Meridional",11.35547,14.9611,Africa,Cameroon
xmj,Majera,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Kotoko Meridional",11.143315,15.04396,Africa,"Cameroon, Chad"
hia,Lamang,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Lamang-Hdi",11.02429,13.7362,Africa,Nigeria
vem,Vemgo-Mabas,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Lamang-Hdi",10.830135,13.66327,Africa,"Nigeria, Cameroon"
xed,Hdi,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Lamang-Hdi",10.94202,13.68811,Africa,"Nigeria, Cameroon"
bwr,Bura-Pabir,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Buraic",10.48224,12.30072,Africa,Nigeria
ckl,Cibak,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Buraic",10.89767,12.90198,Africa,Nigeria
mfl,Putai,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Buraic",10.83854,12.99521,Africa,Nigeria
ngx,Nggwahyi,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Buraic",10.6058,12.92341,Africa,Nigeria
mrt,Marghi Central,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Marghic ",10.83854,12.99521,Africa,Nigeria
hbb,Huba,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Marghic, Kilba-South Margi",10.35439,13.13902,Africa,Nigeria
mfm,Marghi South,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Bura-Marghi, Marghic, Kilba-South Margi",10.83854,12.99521,Africa,Nigeria
cie,Cineni,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Dghwedeic",11.13194,13.81868,Africa,Nigeria
dgh,Dghwede,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Dghwedeic",11.05751,13.77847,Africa,Nigeria
gdf,Guduf-Gava,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Dghwedeic",11.10568,13.78934,Africa,Nigeria
ngs,Gvoko,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Dghwedeic",10.991815,13.753745,Africa,"Nigeria, Cameroon"
mfh,Matal,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Podoko",10.92842,14.04736,Africa,Cameroon
pbi,Parkwa,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Podoko",11.02063,14.09644,Africa,Cameroon
glw,Glavda,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Wandala-Malgwa-Glavda",11.13336,13.865235,Africa,"Nigeria, Cameroon"
mfi,Wandala,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mandaraic, Wandala-Malgwa-Glavda",11.316935,13.899635,Africa,"Nigeria, Cameroon"
dme,Dugwor,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mofuic, Meri",10.75203,14.21344,Africa,Cameroon
gnd,Zulgo-Gemzek,"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, Margi-Mandara-Mofu, Mofuic, Meri",10.82696,14.05779,Africa,Cameroon
