"iso";"discription";"lang";"longitude";"latitude";"macro_area";"country.x"
"aaa";"Atlantic-Congo, Volta-Congo, Benue-Congo, Akpes-Edoid, Edoid, North-Central Edoid, Afenmai-Bendel";"Ghotuo";5,95663;7,11551;"Africa";"Nigeria"
"aab";"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Alumic, Alumu-Toro, Alumu-Akpondu";"Alumu-Tesu";8,55956;9,01513;"Africa";"Nigeria"
"aac";"Suki-Gogodala, Gogodalic";"Ari";142,40045;-7,95526;"Papua";"Papua New Guinea"
"aad";"Sepik";"Amal";141,9952;-4,04517;"Papua";"Papua New Guinea"
"aae";"Indo-European, Albanian, Albanian-Tosk";"Arbereshe Albanian";16,71645;38,91104;"Eurasia";"Italy"
"aaf";"Dravidian, South Dravidian, South Dravidian I, Tamil-Kannada, Tamil-Kota, Tamil-Toda, Tamil-Irula, Tamil-Kodagu, Tamil-Malayalam, Malayalamoid";"Aranadan";75,79538;11,35252;"Eurasia";"India"
"aag";"Nuclear_Torricelli, Nuclear Palai, Yangum-Ambrak";"Ambrak";142,46152;-3,51156;"Papua";"Papua New Guinea"
"aah";"Nuclear_Torricelli, Kombio-Arapesh-Urat, Arapesh, Mufian-Bukiyip-Abu, Bukiyip-Abu";"Abu' Arapesh";NA;NA;"Papua";"Papua New Guinea"
"aai";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, Papuan Tip linkage, Nuclear Papuan Tip linkage, North Papuan Mainland-D'Entrecasteaux linkage, Are-Taupota linkage, Are linkage";"Arifama-Miniafia";149,24638;-9,15565;"Papua";"Papua New Guinea"
"aak";"Angan, Nuclear Angan, Ankave-Tainae-Akoye";"Ankave";145,75421;-7,19444;"Papua";"Papua New Guinea"
"aal";"Afro-Asiatic, Chadic, Biu-Mandara, North Biu-Mandara, North Kotoko-Buduma-Musgum, North Kotoko-Buduma, Kotoko Septentrional";"Afade";14,63426;12,055125;"Africa";"Nigeria"
"aam";"Spurious, Nilotic, Southern Nilotic, Kalenjin, Okiek-Akie";"Aramanik";37,3491;-2,90656;"Africa";"Tanzania"
"aan";"Tupian, Maweti-Guarani, Aweti-Guarani, Tupi-Guarani, Tupi-Guarani Subgroup VIII, Guaja-Kaapor-Anambe, Guaja-Anambe";"Anambe";-49,30296;-2,71119;"South America";"Brazil"
"aao";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, North African Arabic";"Algerian Saharan Arabic";4,80626;20,8884;"Africa";"Russia"
"aap";"Cariban, Pekodian, Xinguan";"Para Arara";-53,06572;-3,71263;"South America";"Brazil"
"aaq";"Algic, Algonquian, Eastern Algonquian";"Eastern Abenaki";-68,66167;45,01121;"North America";"United States"
"aar";"Afro-Asiatic, Cushitic, East Cushitic, Lowland East Cushitic, Saho-Afar";"Afar";41,8082933333;12,2281066667;"Africa";"Eritrea"
"aas";"Afro-Asiatic, Cushitic, South Cushitic, Unclassified South Cushitic";"Aasax";36,86477;-4,00679;"Africa";"Tanzania"
"aat";"Indo-European, Albanian, Albanian-Tosk";"Arvanitika Albanian";23,37034;38,28299;"Eurasia";"Greece"
"aau";"Sepik";"Abau";141,32359;-3,97222;"Papua";"Papua New Guinea"
"aaw";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Ngero-Vitiaz linkage, Vitiaz linkage, Southwest New Britain linkage, Arawe-Pasismanua, Arawe, West Arawe";"Solong";148,82509;-5,86129;"Papua";"Papua New Guinea"
"aax";"Nuclear_Trans_New_Guinea, Asmat-Awyu-Ok, Awyu-Ok, Greater Awyu, Awyu-Dumut, Dumut, Mandobo";"Mandobo Atas";140,62376;-5,69357;"Papua";"Indonesia (Papua)"
"aay";"Spurious";"Aariya";NA;NA;"Eurasia";"India"
"aaz";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Timoric A, Western Timoric A, Rotinese, Nuclear Rotinese";"Amarasi";123,96373;-10,21751;"Papua";"Indonesia (Papua)"
"aba";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby";"Abe";-4,38497;5,59682;"Africa";"Ivory Coast"
"abb";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Bantu A-B10-B20-B30, Basaa (A.40), Abo-Barombi";"Bankon";9,6403;4,3702;"Africa";"Cameroon"
"abc";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central Luzon, Sambalic";"Ambala Ayta";120,28339;14,81558;"Papua";"Philippines"
"abd";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Alabat-Manide Agta";"Camarines Norte Agta";122,83497;14,15712;"Papua";"Philippines"
"abe";"Algic, Algonquian, Eastern Algonquian";"Western Abenaki";-72,65106;46,13812;"North America";"Canada"
"abf";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, North Borneo Malayo-Polynesian, Southwest Sabahan, Greater Dusunic, Paitanic";"Abai Sungai";118,30626;5,55394;"Papua";"Malaysia (Peninsular)"
"abg";"Nuclear_Trans_New_Guinea, Kainantu-Goroka, Goroka, Nuclear Goroka, Siane-Yagaria, Kamano-Yagaria, Unclassified Kamano-Yagaria";"Abaga";145,66459;-6,12028;"Papua";"Papua New Guinea"
"abh";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Eastern Arabic, Afghanistan-Uzbekistan Arabic";"Tajiki Arabic";67,32671;37,217615;"Eurasia";"Uzbekistan"
"abi";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby";"Abidji";-4,58421;5,65656;"Africa";"Ivory Coast"
"abj";"Great_Andamanese, South Great Andamanese";"Aka-Bea";92,78178;12,37822;"Eurasia";"India"
"abk";"Abkhaz-Adyge, Abkhaz-Abaza";"Abkhazian";41,29627;42,233375;"Eurasia";"Russia"
"abl";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Lampungic";"Lampung Nyo";105,39652;-4,43957;"Papua";"Indonesia (Papua)"
"abm";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Ekoid-Mbe, Ekoid, Ejagham-Ekajuk, Efutop-Ekajuk, Abanyom-Ekajuk";"Abanyom";8,63055;6,30619;"Africa";"Nigeria"
"abn";"Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Central Delta, Abua-Odual";"Abua";6,61492;4,83057;"Africa";"Nigeria"
"abo";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Tivoid, North Tivoid";"Abon";10,87689;6,90621;"Africa";"Nigeria"
"abp";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central Luzon, Sambalic, Abellen-Botolan";"Abenlen Ayta";120,20036;15,41314;"Papua";"Philippines"
"abq";"Abkhaz-Adyge, Abkhaz-Abaza";"Abaza";42,72732;41,12144;"Eurasia";"Russia"
"abr";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Central Tano, Akanic";"Abron";-2,502885;7,720945;"Africa";"Ghana"
"abs";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Malayic, Vehicular Malay, Eastern Indonesia Trade Malay, Ambonic Malay";"Ambonese Malay";128,18442;-3,71342;"Papua";"United States"
"abt";"Ndu, Nuclear Ndu, Ambulas-Hanga-Hundi";"Ambulas";143,05898;-3,7801;"Papua";"Papua New Guinea"
"abu";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Western Tano";"Abure";-3,64123;5,21534;"Africa";"Ivory Coast"
"abv";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic";"Baharna Arabic";53,83146;24,61975;"Eurasia";"Bahrain"
"abw";"Nuclear_Trans_New_Guinea, Madang, Croisilles, Tibor-Omosa, Omosan";"Pal";145,24044;-4,756;"Papua";"Papua New Guinea"
"abx";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Greater Barito, Sama-Bajaw";"Inabaknon";124,16645;12,42636;"Papua";"Philippines"
"aby";"Yareban, Doriri-Abia";"Aneme Wake";148,47891;-9,75911;"Papua";"Papua New Guinea"
"abz";"Timor-Alor-Pantar, Alor-Pantar, Alor";"Abui";124,58793;-8,31058;"Papua";"Indonesia (Papua)"
"aca";"Arawakan, Northern Maipuran, Inland Northern Maipuran, Japura-Colombia, Nuclear Japura-Colombia, Piapoco-Achagua";"Achagua";-72,2005;4,38649;"South America";"Colombia"
"acb";"Unattested";"Anca";11,10872;6,66524;"Africa";"Nigeria"
"acc";"Spurious, Retired";"Achi', Cubulco";NA;NA;"North America";"Guatemala"
"acd";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Guang, North Guang, Oti North Guang, Mountain Oti North Guang, Gikyode-Ginyanga";"Gikyode";0,56975;8,39478;"Africa";"Ghana"
"ace";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Malayo-Sumbawan, North and East Malayo-Sumbawan, Aceh-Chamic";"Achinese";96,60325;3,90757;"Eurasia";"Indonesia (Papua)"
