"iso";"discription";"lang";"longitude";"latitude";"macro_area";"country.x"
"acf";"Indo-European, Italic, Latino-Faliscan, Latinic, Imperial Latin, Romance, Italo-Western Romance, Western Romance, Shifted Western Romance, Northwestern Shifted Romance, Gallo-Rhaetian, Oil, Central Oil, Macro-French, Circum-Caribbean French, Lesser Antillean French Creole, Lucia-Miguel Creole French";"Saint Lucian Creole French";-61,36413;15,39466;"North America";"Saint Lucia"
"ach";"Nilotic, Western Nilotic, Luo-Burun, Southern Lwoo";"Acoli";32,514725;3,577385;"Africa";"Sudan"
"aci";"Great_Andamanese, Central Great Andamanese, Northern Great Andamanese, Bo-Cari";"Aka-Cari";92,94855;13,49086;"Eurasia";"India"
"ack";"Great_Andamanese, Central Great Andamanese, Northern Great Andamanese, Jeru-Kora";"Aka-Kora";92,74663;12,09437;"Eurasia";"India"
"acl";"Great_Andamanese, South Great Andamanese";"Akar-Bale";92,82775;12,66632;"Papua";"India"
"acm";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Eastern Arabic";"Gilit Mesopotamian Arabic";43,1094625;33,817765;"Eurasia";"Turkey"
"acn";"Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Burmish, Northern Burmish, High Northern Burmish";"Achang-Xiandao";97,74383;24,3479;"Eurasia";"China"
"acp";"Atlantic-Congo, Volta-Congo, Benue-Congo, Kainji, Central Kainji, Shiroro-Kamuku, Kamuku-Hungwarya, Kamuku, Rogo-Sagamuk-Sama-Sambuga, Sagamuk-Sama-Sambuga";"Eastern Acipa";6,0105;10,71038;"Africa";"Nigeria"
"acq";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic";"Ta'izzi-Adeni Arabic";45,64107;13,65547;"Eurasia";"Eritrea"
"acr";"Mayan, Core Mayan, Quichean-Mamean, Greater Quichean, Core Quichean, Quiche-Achi";"Achi";-90,35134;15,07303;"North America";"Guatemala"
"acs";"Nuclear-Macro-Je, Je, Je Central";"Acroa";-40,21445;-12,594;"South America";"Brazil"
"act";"Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Altsachsisch, Middle-Modern Low German, Low German";"Achterhoeks";6,47521;52,02104;"Eurasia";"Netherlands"
"acu";"Jivaroan, Shuaric";"Achuar-Shiwiar";-77,26405;-2,826455;"South America";"Peru"
"acv";"Palaihnihan";"Achumawi";-121,1908;41,09785;"North America";"United States"
"acw";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic";"Hijazi Arabic";38,92371;22,8346;"Eurasia";"Eritrea"
"acx";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic";"Omani Arabic";58,5;23,25;"Eurasia";"United Arab Emirates"
"acy";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Levantine Arabic";"Cypriot Arabic";33,0943;35,16744;"Eurasia";"Cyprus"
"acz";"Narrow_Talodi, Buram-Saraf, Acheron-Tocho";"Acheron";30,3187;10,88266;"Africa";"Sudan"
"ada";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Ga-Dangme";"Adangme";0,13243;5,9437;"Africa";"Ghana"
"adb";"Spurious";"Adabe";125,57573;-8,22674;"Papua";"East Timor"
"add";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Wide Grassfields, Narrow Grassfields, Mbam-Nkam, Nka, Nkambe";"Dzodinka";10,76334;6,890045;"Africa";"Nigeria"
"ade";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Na-Togo, Basila-Adele";"Adele";0,619185;8,169755;"Africa";"Ghana"
"adf";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic";"Dhofari Arabic";54,48936;17,07958;"Eurasia";"Oman"
"adg";"Pama-Nyungan, Arandic-Thura-Yura, Arandic, Aranda";"Andegerebinha";137,3515;-22,51278;"Australia";"Australia"
"adh";"Nilotic, Western Nilotic, Luo-Burun, Southern Lwoo, Adhola-Alur-Luo, Adhola-Luo";"Adhola";34,03408;0,73235;"Africa";"Uganda"
"adi";"Sino-Tibetan, Macro-Tani, Tani, Eastern Tani";"Bori-Karko";94,3538;27,62812;"Eurasia";"India"
"adj";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Agneby";"Adioukrou";-4,52522;5,38228;"Africa";"Ivory Coast"
"adl";"Sino-Tibetan, Macro-Tani, Tani, Pre-Western Tani, Western Tani, Subansiri";"Galo";96,311;27,749;"Eurasia";"India"
"adn";"Timor-Alor-Pantar, Alor-Pantar, Alor, West Alor, Straits West Alor, Adang-Hamap-Kabola";"Adang";124,44812;-8,18958;"Papua";"Indonesia (Papua)"
"ado";"Lower_Sepik-Ramu, Agoan";"Abu";144,47396;-4,24027;"Papua";"Papua New Guinea"
"adp";"Spurious, Sino-Tibetan, Bodic, Bodish, Old-Modern Tibetan, Tibetic, Southern Tibetic, Dzongkhic, Nuclear Dzongkhic";"Adap";90,33693;27,14102;"Eurasia";"Bhutan"
"adq";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Gbe, Western Gbe";"Adangbe";0,727155;6,50546;"Africa";"Ghana"
"adr";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Central Malayo-Polynesian, Flores-Lembata, Sika-Lamaholot, Lamaholotic, Lamaholot Barat, North Lembata";"Adonara";123,15864;-8,32027;"Papua";"Indonesia (Papua)"
"ads";"Sign Language, Village Sign Language";"Adamorobe Sign Language";-0,151;5,834;"Africa";"Ghana"
"adt";"Pama-Nyungan, Arandic-Thura-Yura, Thura-Yura, Core Thura Yura, Northern Thura-Yura";"Adnyamathanha";138,67131;-30,14508;"Australia";"Australia"
"adu";"Spurious, Atlantic-Congo, Volta-Congo, Benue-Congo, Akpes-Edoid, Edoid, Northwestern Edoid";"Aduge";6,13085;7,64567;"Africa";"Nigeria"
"adw";"Tupian, Maweti-Guarani, Aweti-Guarani, Tupi-Guarani, Tupi-Guarani Subgroup VI";"Amundava";-62,30645;-9,04023;"South America";"Brazil"
"adx";"Sino-Tibetan, Bodic, Bodish, Old-Modern Tibetan, Tibetic";"Amdo Tibetan";100,48479;34,51768;"Eurasia";"China"
"ady";"Abkhaz-Adyge, Circassian";"Adyghe";39,33;44;"Eurasia";"Turkey"
"adz";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic linkage, North New Guinea linkage, Huon Gulf, Markham, Upper Markham";"Adzera";146,29442;-6,39394;"Papua";"Papua New Guinea"
"aea";"Pama-Nyungan, Paman, Norman Pama, Kuthant-Gurdjar, Rib-Gurdjar";"Areba";142,63107;-16,63548;"Australia";"Australia"
"aeb";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, North African Arabic";"Tunisian Arabic";9,56156;33,79658;"Africa";"Belgium"
"aec";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Egyptic Arabic, Egypto-Sudanic Arabic";"Saidi Arabic";30,53016;25,41322;"Africa";"Egypt"
"aed";"Sign Language, Deaf Sign Language";"Argentine Sign Language";-59,17984;-34,79695;"South America";"Argentina"
"aee";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Northwestern zone, Pashayi, Eastern Pashayi";"Northeast Pashayi";70,43166;34,66002;"Eurasia";"Afghanistan"
"aek";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Southern Melanesian, New Caledonian, Northern New Caledonian, Voh-Kone";"Haeke";164,86922;-21,0735;"Papua";"New Caledonia"
"ael";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Wide Grassfields";"Ambele";9,62028;5,94043;"Africa";"Cameroon"
"aem";"Austroasiatic, Vietic, Chutic, East Chutic";"Arem";105,92765;17,76723;"Eurasia";"Viet Nam"
"aen";"Sign Language, Deaf Sign Language";"Armenian Sign Language";44,47668;40,10023;"Eurasia";"Armenia"
"aeq";"Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Gujarati-Rajasthani, Gujaratic, Western Gujaratic";"Aer";69,029;25,254;"Eurasia";"Pakistan"
"aer";"Pama-Nyungan, Arandic-Thura-Yura, Arandic, Aranda";"Eastern Arrernte";135,04638;-23,35831;"Australia";"Australia"
"aes";"Alsea";"Alsea";-123,94;44,408;"North America";"United States"
"aeu";"Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Hani-Jino, Bisoid-Hanic, Hanic, Ha-Ya, Akhaic";"Akeu";NA;NA;"Eurasia";"Thailand"
"aew";"Lower_Sepik-Ramu";"Ambakich";144,28479;-4,23181;"Papua";"Papua New Guinea"
"aey";"Nuclear_Trans_New_Guinea, Madang, Croisilles, Mabuso, Gum";"Amele";145,68676;-5,29126;"Papua";"Papua New Guinea"
"aez";"Nuclear_Trans_New_Guinea, Greater Binanderean, Binanderean, Nuclear Binanderean, South Binanderean, Orokaivic";"Aeka";148,08954;-8,79019;"Papua";"Papua New Guinea"
"afb";"Afro-Asiatic, Semitic, West Semitic, Central Semitic, Arabian, Arabic, Arabian Peninsula Arabic";"Gulf Arabic";47,5;30,17;"Eurasia";"Bahrain"
"afd";"Arafundi";"Andai";143,63712;-4,96449;"Papua";"Papua New Guinea"
"afe";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Bendic";"Putukwam";8,96041;6,65923;"Africa";"Nigeria"
"afg";"Sign Language, Deaf Sign Language";"Afghan Sign Language";NA;NA;"Eurasia";"Afghanistan"
"afi";"Lower_Sepik-Ramu, Ramu, Tamolan";"Chini";144,82082;-4,88687;"Papua";"Papua New Guinea"
"afk";"Arafundi";"Nanubae";143,93712;-4,71731;"Papua";"Papua New Guinea"
"afn";"Ijoid";"Defaka";7,50186;4,58451;"Africa";"Nigeria"
"afo";"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau";"Eloyi";7,97061;8,24696;"Africa";"Nigeria"
"afp";"Arafundi";"Tapei";143,33712;-4,77763;"Papua";"Papua New Guinea"
"afr";"Indo-European, Germanic, Northwest Germanic, West Germanic, Franconian, Low Franconian, Afrikaansic";"Afrikaans";30;-22;"Africa";"Canada"
"afs";"Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Anglo-Frisian, Anglian, Mercian, Macro-English, Guinea Coast Creole English, Caribbean English Creole, Eastern Caribbean Creole, Gullah-Nevis-Antigua, Gullah";"Afro-Seminole Creole";-99,293385;31,784255;"North America";"United States"
"aft";"Nyimang";"Afitti";30,76112;12,44598;"Africa";"Sudan"
"afu";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Guang, South Guang";"Awutu";-0,59545;5,42441;"Africa";"Ghana"
"afz";"Lakes_Plain, Tariku, East Tariku, Eritai-Obokuitai-Biritai";"Obokuitai";137,92395;-2,88029;"Papua";"Indonesia (Papua)"
"aga";"Unattested, Arawakan, Southern Maipuran, Pre-Andine Maipuran";"Aguano";-75,83332;-5,25;"South America";"Peru"
"agb";"Atlantic-Congo, Volta-Congo, Benue-Congo, Delta Cross, Upper Cross, Central Upper Cross, East-West Central Delta Cross, Mbembe-Legbo, Legboic";"Legbo";7,98385;6,02645;"Africa";"Nigeria"
"agc";"Atlantic-Congo, Volta-Congo, Benue-Congo, Idomoid, Akweya, Etulo-Idoma, Nuclear Idoma";"Agatu";7,71639;7,97915;"Africa";"Nigeria"
"agd";"Nuclear_Trans_New_Guinea, Kainantu-Goroka, Kainantu, Gauwa, Gadsup-Agarabi";"Agarabi";145,91695;-6,20604;"Papua";"Papua New Guinea"
"age";"Nuclear_Trans_New_Guinea, Enga-Kewa-Huli, Kewa-Huli, Sau-Angal-Kewa, Angal-Kewa, Angal Mendi";"Angal";143,59198;-6,0127;"Papua";"Papua New Guinea"
"agf";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Greater SHWNG, South Halmahera-West New Guinea, Bomberai";"Arguni";132,54182;-2,66787;"Papua";"Indonesia (Papua)"
"agg";"Senagi";"Angor";141,19901;-3,7167;"Papua";"Papua New Guinea"
"agh";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Narrow Bantu, Ababuan, Old Bomokandian, Middle Bomokandian, Late Bomokandian";"Ngelima";24,87538;1,81314;"Africa";"Democratic Republic of the Congo"
"agi";"Unattested, Dravidian, South Dravidian, South Dravidian II, Gondi";"Agariya";82,29701;24,50242;"Eurasia";"India"
"agj";"Afro-Asiatic, Semitic, West Semitic, Ethiosemitic, South Ethiopic, Transversal South Ethiopic, Amharic-Argobba";"Argobba";39,75603;10,65965;"Africa";"Ethiopia"
"agk";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bikol, Inagta Bikol";"Isarog Agta";123,33243;13,65101;"Papua";"Philippines"
"agl";"East_Strickland";"Fembe";142,25411;-5,71596;"Papua";"Papua New Guinea"
"agm";"Angan";"Angaataha";146,35192;-7,15012;"Papua";"Papua New Guinea"
"agn";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Kalamian";"Agutaynen";119,65546;10,53279;"Papua";"Philippines"
"ago";"Angan, Nuclear Angan, Ankave-Tainae-Akoye, Tainae-Akoye";"Tainae";145,68228;-7,40306;"Papua";"Papua New Guinea"
"agq";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Wide Grassfields, Narrow Grassfields, Ring, West Ring";"Aghem";10,08074;6,38956;"Africa";"Cameroon"
"agr";"Jivaroan";"Aguaruna";-77,92179;-5,30044;"South America";"Peru"
"ags";"Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern Bantoid, Tivoid";"Esimbi";9,86936;6,50094;"Africa";"Nigeria"
"agt";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Northern Luzon, Cagayan Valley, Ibanagic, Gaddangic";"Central Cagayan Agta";121,85716;17,95709;"Papua";"Philippines"
"agu";"Mayan, Core Mayan, Quichean-Mamean, Greater Mamean, Ixilan";"Aguacateco";-91,31529;15,33066;"North America";"Guatemala"
"agv";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central Luzon";"Remontado Agta";121,45323;14,62541;"Papua";"Philippines"
"agw";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Southeast Solomonic, Longgu-Malaita-Makira, Malaita-Makira, Makira";"Kahua";162,19059;-10,69634;"Papua";"Solomon Islands"
"agx";"Nakh-Daghestanian, Daghestanian, Lezgic, Nuclear Lezgic, East Lezgic";"Aghul";47,58429;41,92418;"Eurasia";"Russia"
"agy";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Northern Luzon, Meso-Cordilleran";"Southern Alta";121,05413;15,18409;"Papua";"Philippines"
"agz";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Greater Central Philippine, Central Philippine, Bikol, Inagta Bikol";"Mt. Iriga Agta";123,4625;13,45657;"Papua";"Philippines"
"aha";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Nyo, Potou-Tano, Tano, Central Tano, Bia, Southern Bia";"Ahanta";-1,94657;4,85147;"Africa";"Ghana"
"ahb";"Austronesian, Nuclear Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, North and Central Vanuatu, Central Vanuatu, Malakula, Eastern Malakula linkage, Axamb-Avok";"Axamb";167,70701;-16,48376;"Papua";"Vanuatu"
"ahg";"Afro-Asiatic, Cushitic, Agaw, Northern-Eastern-Western Agaw";"Qimant";37,05424;12,81193;"Africa";"Eritrea"
"ahh";"Nuclear_Trans_New_Guinea, Asmat-Awyu-Ok, Awyu-Ok, Greater Awyu, Awyu-Dumut, Awyu, Mappi-Digul Awyu";"Aghu";140,04303;-6,34674;"Papua";"Indonesia (Papua)"
"ahi";"Atlantic-Congo, Volta-Congo, Kru, Aizi";"Tiagbamrin Aizi";-4,62352;5,28022;"Africa";"Ivory Coast"
"ahk";"Sino-Tibetan, Burmo-Qiangic, Lolo-Burmese, Loloish, Hani-Jino, Bisoid-Hanic, Hanic, Ha-Ya, Akhaic";"Akha";100,964344;21,230864;"Eurasia";"Viet Nam"
"ahl";"Atlantic-Congo, Volta-Congo, Kwa Volta-Congo, Ka-Togo, Kposo-Ahlo-Bowili";"Igo";0,67846;7,25499;"Africa";"Togo"
"ahm";"Atlantic-Congo, Volta-Congo, Kru, Aizi";"Mobumrin Aizi";-4,47303;5,26847;"Africa";"Ivory Coast"
"ahn";"Atlantic-Congo, Volta-Congo, Benue-Congo, Defoid, Ayere-Ahan";"Ahan";6,00896;7,44139;"Africa";"Nigeria"
"aho";"Tai-Kadai, Kam-Tai, Be-Tai, Daic, Central-Southwestern Tai, Wenma-Southwestern Tai, Sapa-Southwestern Tai, Southwestern Tai, Southwestern Tai P";"Ahom";88,46401;27,27784;"Eurasia";"India"
"ahp";"Atlantic-Congo, Volta-Congo, Kru, Aizi";"Aproumu Aizi";-4,52192;5,20273;"Africa";"Ivory Coast"
"ahr";"Spurious, Indo-European, Indo-Iranian, Indo-Aryan, Indo-Aryan Central zone, Subcontinental Central Indo-Aryan, Khandesic";"Ahirani";73,685;21,552;"Eurasia";"India"
"ahs";"Atlantic-Congo, Volta-Congo, Benue-Congo, Benue-Congo Plateau, Western Benue-Congo Plateau, Northwestern Benue-Congo Plateau, Koroic";"Ashe";7,39443;9,36574;"Africa";"Nigeria"
"aht";"Athapaskan-Eyak-Tlingit, Athapaskan-Eyak, Athapaskan, Northern Athapaskan";"Ahtena";-144,88894;61,70684;"North America";"United States"
