;iso;languoid;affiliation;latitude;longitude;macro_area;country
1338;csf;Cuba Sign Language;Sign Language, Deaf Sign Language, Unclassified Deaf Sign Language;22.061;-79.209;North America;Cuba
1348;bog;Langue de Signes Malienne;Sign Language, Deaf Sign Language;12.651;-8.00136;Africa;Mali
1356;psr;Portuguese Sign Language;Sign Language, Deaf Sign Language, Swedish Sign;38.54741;-8.53355;Eurasia;Portugal
1371;prz;Providencia Sign Language;Sign Language, Village Sign Language, Providencia-Cayman Sign;13.35;-81.37;South America;Colombia
1372;ase;American Sign Language;Sign Language, Deaf Sign Language, ASLic, American Sign;33.81171;-81.61209;North America;'''Canada Madagascar Democratic Republic of the Congo Nigeria Bolivia Burkina Faso Benin Ghana Singapore Togo Zimbabwe China Mauritania Philippines Central African Republic United States Gabon Cote d''''Ivoire Jamaica Chad Kenya Barbados '''
1390;csr;Costa Rican Sign Language;Sign Language, Deaf Sign Language, ASLic;9.8943;-84.11803;North America;Costa Rica
1400;ncs;Nicaraguan Sign Language;Sign Language, Village Sign Language;12.2509;-86.33987;North America;Nicaragua
1404;hds;Honduras Sign Language;Sign Language, Deaf Sign Language, Spanish Sign, Mexican Sign;14.622;-87.224;North America;Honduras
1416;msd;Yucatec Maya Sign Language;Sign Language, Village Sign Language;20.49999;-88.99999;North America;Mexico
1424;esn;Salvadoran Sign Language;Sign Language, Deaf Sign Language;13.7024;-89.59881;North America;El Salvador
1444;gsm;Guatemalan Sign Language;Sign Language, Deaf Sign Language;14.50344;-90.56666;North America;Guatemala
1715;mfs;Mexican Sign Language;Sign Language, Deaf Sign Language, Spanish Sign, Mexican Sign;19.74999;-98.49999;North America;Mexico
1730;psd;Plains Indian Sign Language;Sign Language, Auxiliary Sign Systems;38.39406;-99.24989;North America;Canada, United States
1783;okl;Old Kentish Sign Language;Sign Language, Village Sign Language;51.11978;0.98365;Eurasia;United Kingdom
1817;tse;Tunisian Sign Language;Sign Language, Deaf Sign Language, LSFic;36.49562;10.03348;Africa;Tunisia
1853;nsl;Norwegian Sign Language;Sign Language, Deaf Sign Language, LSFic, Norwegian Sign;60.77328;10.24198;Eurasia;Norway
1957;psg;Penang Sign Language;Sign Language, Deaf Sign Language;5.375;100.254;Eurasia;Malaysia (Peninsular)
1962;tsq;Thai Sign Language;Sign Language, Deaf Sign Language, CSLic;13.7837;100.44545;Eurasia;Thailand
2007;xml;Malaysian Sign Language;Sign Language, Deaf Sign Language, ASLic, Malaysian Sign;2.946;101.36596;Eurasia;Malaysia (Peninsular)
2019;kgi;Selangor Sign Language;Sign Language, Deaf Sign Language, LSFic;3.13489;101.61389;Eurasia;Malaysia (Peninsular)
2103;bfk;Ban Khor Sign Language;Sign Language, Village Sign Language;16.911;103.296;Eurasia;Thailand
2228;hab;Hanoi Sign Language;Sign Language, Deaf Sign Language, CSLic, Ha-Hoic;21.02446;105.8339;Eurasia;Viet Nam
2263;hos;Ho Chi Minh City Sign Language;Sign Language, Deaf Sign Language, CSLic, Ha-Hoic;10.78646;106.68073;Eurasia;Viet Nam 
2265;haf;Haiphong Sign Language;Sign Language, Deaf Sign Language, Old Chiangmai-Bangkok-Haiphong Sign;20.8537;106.68927;Eurasia;Viet Nam
2316;msr;Mongolian Sign Language;Sign Language, Deaf Sign Language, Russian Sign;48.68518;107.5282;Eurasia;Mongolia
2521;inl;Indonesian Sign Language;Sign Language, Deaf Sign Language, ASLic, Malaysian Sign;-7.908;112.378;Papua;Indonesia (Papua)
2584;bqy;Kata Kolok;Sign Language, Village Sign Language;-8.383;115.098;Papua;Indonesia (Papua)
2765;dsl;Danish Sign Language;Sign Language, Deaf Sign Language, LSFic, Danish Sign;55.82574;12.31866;Eurasia;Denmark
2769;ise;Italian Sign Language;Sign Language, Deaf Sign Language, LSFic, Italian Sign;42.72915;12.42949;Eurasia;Italy
2771;mzg;Monastic Sign Language;Sign Language, Auxiliary Sign Systems;41.90262;12.45197;Eurasia;Vatican State
2910;tss;Taiwan Sign Language;Sign Language, Deaf Sign Language, JSLic;25.02062;121.30519;Papua;Taiwan
2928;psp;Philippine Sign Language;Sign Language, Deaf Sign Language, LSFic;16.91598;121.51221;Papua;Philippines
