nation,number,city
Russians,3908753,St. Petersburg
Ukrainians,64446,St. Petersburg
Byelorussians,38136,St. Petersburg
Tatars,30857,St. Petersburg
Jews,24132,St. Petersburg
Armenians,19971,St. Petersburg
Azerbaijanians,17717,St. Petersburg
Russians,9930410,Moscow
Ukrainians,154104,Moscow
Tatars,149043,Moscow
Armenians,106466,Moscow
Azerbaijanians,57123,Moscow
Jews,53145,Moscow
Byelorussians,39225,Moscow
